Usage_ID,Account,TS,Service,SKU,Usage,Unit,Cost,Currency,Region,Free_Tier_Flag,Tag_Owner,Tag_Env,Resource_ID,Ticket_ID,Ticket_Text,Severity,Incident_ID,Price_Version,Pricing_Type,Purchase_Type,Department,Project,SLA_Event,Log_Skew_Seconds,FX_Rate
U31,acct001,2026/08/04 14:29,Networking,DB-GP-2,461.07,seconds,820.96,INR,us-east-1,True,,,resource-3310,T-98,Customer reported latency issue,MEDIUM,I-85,v1,spot,reserved,Engineering,,NONE,,1
U32,acct001,2026/12/07 10:08,AI,DB-GP-2,436.29,hours,₹531.37,EUR,eu-west-1,False,alice,dev,R1836,T-18,Customer phone 6016449850 reported outage,,I-27,v3,on-demand,on-demand,Finance,Project-B,OUTAGE,67.0,90
U33,ACCT-002,2026-06-28T16:56:00+09:00,AI,DB-GP-2,4704.51,minutes,5994.14,EUR,US East 1,True,,prod,resource-8964,T-139,Customer phone 6239680235 reported outage,MEDIUM,I-48,v1,spot,on-demand,Research,Project-B,NONE,23.0,90
U34,ACCT-002,2026-10-05 10:55:00,Storage,vm_std_4,1909.09,hours,₹1768.48,EUR,ap south 1,True,,,resource-9659,T-38,Customer phone 9951698469 reported outage,,I-77,,reserved,on-demand,Sales,Project-B,OUTAGE,22.0,90
U35,ACCT-002,2026/09/19 19:30,Compute,db_gp_2,186.84,seconds,$116.69,INR,ap south 1,True,,,resource-8167,T-194,Customer phone 6262029364 reported outage,LOW,I-35,v3,reserved,spot,Sales,Project-B,NONE,58.0,1
U36,ACCT-002,2026/09/14 06:01,Database,DB-GP-2,179.76,hours,342.27,USD,ap south 1,True,,prod,R3633,T-27,User email john@example.com cannot login,,,v3,on-demand,spot,Finance,,DEGRADED,20.0,83
U37,acct001,2026-09-15T20:53:00+00:00,Storage,db_gp_2,46.88,hours,72.59,INR,us-east-1,False,david,dev,resource-6746,T-29,User email john@example.com cannot login,,I-33,v1,spot,reserved,Finance,Project-A,NONE,71.0,1
U38,ACCT-002,2026-06-12 11:48:00,Storage,vm_std_4,251.02,minutes,₹351.28,EUR,US East 1,False,david,prod,R7646,T-70,Customer phone 9122888445 reported outage,,I-26,v3,on-demand,spot,,Project-C,DEGRADED,,90
U39,ACCT-002,2026-04-30T08:58:00+00:00,AI,db_gp_2,362.31,minutes,273.98,INR,us-east-1,True,bob,dev,R8802,T-85,User email john@example.com cannot login,HIGH,I-17,v2,spot,on-demand,,Project-B,OUTAGE,,1
U40,acct001,2026/10/18 21:41,Networking,db_gp_2,388.07,minutes,139.76,INR,US East 1,False,bob,dev,R4537,T-159,Customer phone 7771972105 reported outage,LOW,,v1,on-demand,on-demand,Sales,,OUTAGE,102.0,1
U41,acct-001,2026-02-15T18:53:00+00:00,Database,DB-GP-2,268.23,minutes,$474.88,USD,us-east-1,True,david,,R7157,T-33,Customer phone 9118150843 reported outage,HIGH,I-49,v3,on-demand,on-demand,,Project-B,NONE,42.0,83
U42, acct003 ,2026-10-01 21:13:00,Networking,db_gp_2,77.28,seconds,$53.56,USD,eu-west-1,False,david,test,R6837,T-14,User email john@example.com cannot login,MEDIUM,,,spot,spot,,Project-B,NONE,,83
U43,acct001,2026-07-17T21:00:00+01:00,AI,db_gp_2,193.5,seconds,268.88,EUR,US East 1,False,david,prod,resource-5184,T-100,Customer phone 6518978243 reported outage,HIGH,,v2,on-demand,reserved,Sales,,NONE,104.0,90
U44,acct-001,2026-01-03 06:22:00,AI,vm_std_4,190.67,hours,$288.1,USD,US East 1,True,charlie,,resource-6005,T-136,Customer phone 9892660272 reported outage,MEDIUM,I-79,v3,reserved,reserved,Sales,Project-C,NONE,98.0,83
U45, acct003 ,2026-02-23 19:07:00,Compute,vm_std_4,391.47,hours,$535.53,INR,US East 1,True,bob,prod,R1942,T-90,Customer phone 8968534482 reported outage,MEDIUM,,v2,reserved,on-demand,,Project-B,NONE,83.0,1
U46, acct003 ,2026/03/29 06:15,AI,DB-GP-2,309.3,minutes,131.43,EUR,ap south 1,True,,prod,resource-1696,T-173,Customer phone 9761731344 reported outage,,I-28,,reserved,on-demand,Sales,Project-C,DEGRADED,,90
U47, acct003 ,2026/05/27 22:43,AI,vm_std_4,239.76,minutes,336.94,EUR,US East 1,True,,,R1257,T-108,Customer reported latency issue,MEDIUM,,v3,spot,reserved,Engineering,Project-A,DEGRADED,20.0,90
U48,acct001,2026-11-18T17:07:00+05:30,AI,VM-STD-4,36.52,hours,₹9.58,USD,US East 1,True,bob,,resource-9278,T-165,User email john@example.com cannot login,MEDIUM,,v3,on-demand,on-demand,Engineering,Project-A,NONE,117.0,83
U49,acct-001,2026/11/27 00:47,Networking,DB-GP-2,275.56,hours,₹88.6,USD,US East 1,False,,dev,resource-9188,T-42,Customer phone 8810032301 reported outage,LOW,I-10,v3,on-demand,on-demand,Engineering,Project-A,DEGRADED,78.0,83
U50,ACCT-002,2026/01/02 06:10,AI,VM-STD-4,94.9,minutes,$64.11,USD,ap south 1,True,david,,R3766,T-118,User email john@example.com cannot login,HIGH,I-58,v2,reserved,reserved,,Project-C,DEGRADED,,83
U51,ACCT-002,2026/03/10 25:05,Compute,VM-STD-4,80.56,seconds,₹116.49,EUR,US East 1,False,david,dev,resource-2639,T-77,User email john@example.com cannot login,MEDIUM,,v3,on-demand,spot,Engineering,Project-C,OUTAGE,,90
U52,ACCT-002,2026/07/28 19:14,Storage,db_gp_2,403.34,minutes,$278.94,USD,eu-west-1,False,bob,dev,R6956,T-14,Customer phone 8156186489 reported outage,,,v1,reserved,reserved,,,NONE,35.0,83
U53,acct001,2026/03/10 25:05,Compute,DB-GP-2,397.91,seconds,$471.08,USD,us-east-1,True,,test,R3310,T-63,Customer reported latency issue,,,v2,reserved,reserved,,Project-B,OUTAGE,34.0,83
U54,acct001,2026-11-07 09:26:00,Storage,VM-STD-4,357.02,minutes,377.09,EUR,US East 1,False,,dev,resource-4480,T-124,Customer reported latency issue,LOW,I-40,v1,spot,on-demand,Research,Project-A,OUTAGE,101.0,90
U55,ACCT-002,2026/03/10 25:05,Networking,vm_std_4,356.09,hours,₹635.95,INR,ap south 1,False,alice,prod,resource-4499,T-57,Customer phone 6718030739 reported outage,MEDIUM,,v3,on-demand,on-demand,Sales,,DEGRADED,,1
U56,ACCT-002,2026-07-12T23:14:00+09:00,Networking,VM-STD-4,456.59,minutes,535.43,USD,ap south 1,False,bob,dev,resource-9555,T-170,Customer phone 9961930109 reported outage,,I-77,v2,spot,reserved,Sales,,DEGRADED,,83
U57,acct001,2026/03/10 25:05,Networking,db_gp_2,394.85,minutes,661.27,INR,US East 1,True,david,dev,resource-9385,T-155,User email john@example.com cannot login,MEDIUM,,v1,spot,reserved,Finance,Project-A,OUTAGE,71.0,1
U58,acct-001,2026-09-12T15:00:00+05:30,Compute,vm_std_4,272.59,hours,$519.31,EUR,eu-west-1,True,alice,dev,R8742,T-105,User email john@example.com cannot login,HIGH,,v2,reserved,reserved,,Project-A,OUTAGE,20.0,90
U59,acct001,2026-01-28T13:00:00+01:00,Networking,DB-GP-2,104.64,seconds,₹200.94,EUR,eu-west-1,True,david,,resource-3219,T-31,Customer reported latency issue,LOW,,v3,reserved,spot,Engineering,Project-C,OUTAGE,50.0,90
U60,acct-001,2026-09-12T20:24:00-04:00,Compute,VM-STD-4,216.22,seconds,$69.3,EUR,ap south 1,True,david,dev,R4849,T-75,Customer reported latency issue,HIGH,,v2,on-demand,reserved,,Project-B,DEGRADED,101.0,90
U61, acct003 ,2026/09/05 08:46,Storage,vm_std_4,308.65,seconds,76.39,USD,US East 1,True,,test,resource-6137,T-155,Customer phone 9657539207 reported outage,HIGH,I-47,v3,on-demand,spot,,,OUTAGE,104.0,83
U62, acct003 ,2026/12/06 17:18,Compute,DB-GP-2,409.52,minutes,₹313.75,EUR,eu-west-1,True,alice,test,resource-3022,T-22,User email john@example.com cannot login,,I-44,v3,on-demand,on-demand,Sales,Project-A,NONE,99.0,90
U63,ACCT-002,2026-10-18T16:13:00-04:00,Networking,VM-STD-4,306.94,minutes,₹335.0,EUR,us-east-1,True,alice,,resource-8258,T-188,User email john@example.com cannot login,,,v2,spot,reserved,Research,,OUTAGE,95.0,90
U64,acct001,2026/03/10 25:05,AI,vm_std_4,196.13,hours,₹55.91,EUR,us-east-1,True,charlie,dev,resource-1514,T-69,User email john@example.com cannot login,HIGH,I-84,v3,on-demand,on-demand,Sales,Project-B,OUTAGE,71.0,90
U65,acct-001,2026/06/22 01:31,Networking,db_gp_2,17.48,seconds,₹9.63,INR,ap south 1,False,bob,,R1779,T-90,User email john@example.com cannot login,,I-29,v1,reserved,on-demand,Research,,DEGRADED,,1
U66,acct-001,2026-03-23T04:12:00+00:00,Networking,VM-STD-4,87.04,minutes,₹166.25,INR,us-east-1,False,david,test,resource-9538,T-94,Customer reported latency issue,HIGH,,,on-demand,spot,Research,,NONE,102.0,1
U67,acct-001,2026/11/18 12:00,Networking,vm_std_4,93.53,hours,₹22.41,EUR,eu-west-1,False,charlie,,R4317,T-7,Customer reported latency issue,MEDIUM,,v3,reserved,spot,Finance,Project-C,OUTAGE,,90
U68, acct003 ,2026-09-21T17:56:00-04:00,Compute,DB-GP-2,197.17,hours,₹322.46,INR,US East 1,True,,dev,resource-8217,T-34,Customer reported latency issue,,,v2,reserved,on-demand,Sales,Project-C,NONE,,1
U69,acct-001,2026-10-28T16:29:00+09:00,Storage,DB-GP-2,427.52,minutes,₹86.27,INR,us-east-1,True,david,test,resource-6927,T-196,Customer reported latency issue,HIGH,,v2,reserved,on-demand,,Project-C,DEGRADED,100.0,1
U70,acct001,2026-03-12T23:59:00-04:00,AI,VM-STD-4,334.77,hours,₹395.35,EUR,us-east-1,False,charlie,prod,resource-7192,T-119,Customer phone 9712360301 reported outage,MEDIUM,I-79,,reserved,spot,Engineering,Project-C,OUTAGE,74.0,90
U71,acct-001,2026/02/02 03:42,Database,VM-STD-4,210.22,seconds,₹47.91,EUR,ap south 1,True,bob,dev,R3636,T-16,Customer phone 7675754280 reported outage,LOW,,,reserved,reserved,Research,Project-A,NONE,21.0,90
U72,ACCT-002,2026-10-13T01:50:00+00:00,Networking,VM-STD-4,30.49,hours,$22.18,EUR,eu-west-1,True,alice,,resource-9537,T-175,Customer reported latency issue,LOW,I-40,v3,reserved,on-demand,Engineering,,NONE,,90
U73,acct001,2026-05-07T02:18:00-04:00,Compute,VM-STD-4,265.23,hours,₹526.61,INR,ap south 1,False,charlie,dev,resource-3593,T-20,User email john@example.com cannot login,,,v1,on-demand,spot,Research,Project-A,DEGRADED,37.0,1
U74,acct001,2026-04-18 00:18:00,Networking,DB-GP-2,201.51,minutes,325.4,EUR,US East 1,True,david,prod,R8623,T-79,User email john@example.com cannot login,MEDIUM,I-43,v2,on-demand,reserved,,Project-A,NONE,,90
U75,acct-001,2026/03/10 25:05,Networking,vm_std_4,296.91,seconds,₹75.24,USD,eu-west-1,True,david,,resource-7430,T-167,Customer phone 6773658770 reported outage,LOW,,v2,on-demand,spot,,Project-C,DEGRADED,,83
U76,ACCT-002,2026-09-02T02:18:00+05:30,AI,db_gp_2,252.52,hours,$382.63,EUR,ap south 1,False,alice,test,resource-2070,T-99,Customer phone 7893047311 reported outage,,I-78,v2,spot,spot,,Project-A,NONE,30.0,90
U77, acct003 ,2026-05-24T06:55:00+05:30,AI,VM-STD-4,290.61,seconds,$531.37,USD,eu-west-1,False,david,test,R1397,T-38,User email john@example.com cannot login,MEDIUM,,v3,reserved,reserved,Finance,Project-C,DEGRADED,,83
U78,acct001,2026/02/26 22:16,Networking,db_gp_2,343.29,hours,400.54,INR,us-east-1,False,,,R5968,T-28,Customer phone 6964227388 reported outage,MEDIUM,I-91,,reserved,on-demand,Sales,Project-C,NONE,,1
U79,acct-001,2026/03/10 25:05,Compute,VM-STD-4,136.4,hours,₹270.77,INR,ap south 1,False,bob,test,R5494,T-8,Customer phone 8904234261 reported outage,LOW,I-40,,spot,on-demand,Sales,Project-B,DEGRADED,105.0,1
U80,acct-001,2026-04-23 09:15:00,AI,vm_std_4,264.5,hours,92.34,USD,eu-west-1,True,alice,test,R2210,T-59,User email john@example.com cannot login,,I-96,v1,spot,spot,Finance,,NONE,76.0,83
U81,ACCT-002,2026-02-27T05:02:00+01:00,Database,db_gp_2,63.93,hours,$23.37,USD,US East 1,False,bob,dev,R2540,T-16,Customer phone 8585338729 reported outage,HIGH,,,reserved,on-demand,Finance,Project-B,DEGRADED,,83
U82,ACCT-002,2026-07-04 02:14:00,Compute,db_gp_2,219.74,seconds,₹97.26,EUR,eu-west-1,True,alice,test,R6513,T-102,Customer phone 6395573085 reported outage,MEDIUM,I-71,v3,on-demand,on-demand,,Project-C,OUTAGE,1.0,90
U83,acct001,2026-07-05 05:47:00,Storage,db_gp_2,267.11,minutes,₹300.63,USD,us-east-1,False,alice,dev,resource-6325,T-174,Customer reported latency issue,HIGH,,,spot,on-demand,Engineering,Project-B,DEGRADED,59.0,83
U84, acct003 ,2026/08/21 17:14,AI,DB-GP-2,6925.69,seconds,12425.92,INR,eu-west-1,False,,,resource-9480,T-169,Customer phone 6196682161 reported outage,HIGH,,v2,on-demand,reserved,Research,Project-C,NONE,22.0,1
U85,ACCT-002,2026-04-11 09:00:00,AI,db_gp_2,157.87,seconds,$171.81,INR,ap south 1,True,charlie,test,R7778,T-120,Customer reported latency issue,HIGH,,v1,on-demand,on-demand,Research,Project-B,OUTAGE,19.0,1
U86, acct003 ,2026-11-26T15:16:00+05:30,Networking,vm_std_4,346.29,hours,$81.27,EUR,us-east-1,True,david,dev,resource-4682,T-155,User email john@example.com cannot login,MEDIUM,I-42,v3,reserved,spot,Sales,,DEGRADED,,90
U87,acct-001,2026/03/10 25:05,Storage,VM-STD-4,383.44,minutes,139.94,USD,us-east-1,False,charlie,dev,R9984,T-29,Customer phone 7590120043 reported outage,,,v3,reserved,on-demand,Finance,,NONE,69.0,83
U88,ACCT-002,2026-03-19T13:21:00-04:00,AI,DB-GP-2,345.42,seconds,₹588.75,EUR,ap south 1,True,,,R4300,T-144,Customer phone 9737526070 reported outage,HIGH,,,on-demand,on-demand,,Project-A,OUTAGE,,90
U89, acct003 ,2026/03/10 25:05,AI,db_gp_2,177.36,seconds,₹134.21,EUR,US East 1,True,alice,,resource-1773,T-191,Customer reported latency issue,HIGH,I-56,,reserved,on-demand,Research,,OUTAGE,79.0,90
U90,acct001,2026/03/10 25:05,Storage,vm_std_4,14.7,seconds,$23.95,USD,us-east-1,True,alice,dev,resource-2740,T-175,Customer phone 9636955179 reported outage,LOW,,v3,reserved,on-demand,Engineering,Project-A,DEGRADED,115.0,83
U91,acct001,2026/03/10 25:05,Networking,DB-GP-2,25.47,minutes,42.89,USD,eu-west-1,True,charlie,test,resource-2041,T-28,Customer phone 8321168330 reported outage,,,v2,on-demand,spot,,Project-A,OUTAGE,100.0,83
U92,acct-001,2026/11/05 11:58,Compute,VM-STD-4,178.35,hours,$320.7,INR,US East 1,True,alice,test,resource-6093,T-48,Customer phone 6940330421 reported outage,,,v3,on-demand,spot,Engineering,Project-C,OUTAGE,14.0,1
U93, acct003 ,2026-08-09 18:33:00,Storage,VM-STD-4,222.8,minutes,₹434.9,INR,ap south 1,False,bob,prod,R2601,T-128,Customer reported latency issue,,,v2,reserved,reserved,Research,Project-C,OUTAGE,32.0,1
U94,acct001,2026-04-29 22:53:00,Storage,db_gp_2,53.13,minutes,$78.73,EUR,us-east-1,True,bob,,resource-4824,T-137,Customer reported latency issue,HIGH,,v1,reserved,on-demand,Sales,,DEGRADED,,90
U95,acct-001,2026-02-09T19:06:00+00:00,Database,DB-GP-2,89.05,minutes,$148.16,INR,us-east-1,False,,,R9157,T-3,User email john@example.com cannot login,HIGH,I-1,v2,spot,spot,,Project-B,DEGRADED,,1
U96,acct001,2026/03/10 25:05,Storage,DB-GP-2,253.92,minutes,₹442.33,EUR,US East 1,False,alice,prod,R1363,T-179,Customer reported latency issue,MEDIUM,I-78,v3,on-demand,on-demand,Engineering,Project-C,OUTAGE,80.0,90
U97,acct001,2026/03/10 25:05,Storage,VM-STD-4,145.66,hours,$129.75,USD,eu-west-1,True,alice,,resource-3992,T-122,Customer reported latency issue,,,,on-demand,reserved,Finance,Project-A,NONE,,83
U98,acct001,2026/06/17 02:40,Compute,DB-GP-2,141.33,hours,$50.61,INR,ap south 1,True,,prod,resource-9667,T-139,Customer phone 9157507030 reported outage,LOW,I-89,v1,spot,spot,,Project-B,DEGRADED,42.0,1
U99, acct003 ,2026/11/26 00:42,Storage,VM-STD-4,180.42,hours,282.92,INR,ap south 1,False,alice,prod,resource-6990,T-173,Customer phone 7147732985 reported outage,,I-49,v3,reserved,spot,,Project-A,DEGRADED,,1
U100, acct003 ,2026-02-20T18:18:00+01:00,Storage,vm_std_4,91.34,seconds,₹33.59,EUR,eu-west-1,True,,prod,R7710,T-178,Customer reported latency issue,HIGH,I-44,,on-demand,reserved,Finance,,OUTAGE,26.0,90
U101,acct-001,2026-05-06 04:09:00,Database,DB-GP-2,425.97,hours,₹719.83,EUR,us-east-1,True,david,,resource-4327,T-144,Customer reported latency issue,LOW,,v3,spot,spot,Research,Project-B,DEGRADED,118.0,90
U102, acct003 ,2026/03/10 25:05,AI,vm_std_4,104.27,seconds,67.69,INR,US East 1,True,alice,prod,resource-6297,T-80,Customer phone 8853275583 reported outage,MEDIUM,,v2,spot,on-demand,,Project-C,OUTAGE,,1
U103,acct001,2026-12-12T09:08:00+01:00,Networking,db_gp_2,297.93,minutes,$93.63,INR,eu-west-1,False,alice,prod,R4410,T-38,User email john@example.com cannot login,,I-23,v1,reserved,spot,Research,,DEGRADED,0.0,1
U104,acct001,2026-07-17T22:28:00+00:00,Compute,db_gp_2,182.9,minutes,151.29,USD,US East 1,True,bob,test,R4111,T-26,Customer reported latency issue,LOW,I-8,v1,on-demand,reserved,Sales,Project-B,OUTAGE,,83
U105,acct001,2026-12-01 12:01:00,Networking,db_gp_2,231.46,minutes,145.5,INR,eu-west-1,False,david,prod,resource-4606,T-3,Customer reported latency issue,HIGH,I-2,,on-demand,spot,Engineering,,DEGRADED,9.0,1
U106, acct003 ,2026-03-10T01:34:00+09:00,Storage,vm_std_4,344.68,seconds,$189.41,INR,eu-west-1,False,,test,resource-1624,T-145,User email john@example.com cannot login,MEDIUM,,v1,reserved,spot,Research,Project-A,NONE,,1
U107,acct001,2026/02/07 18:48,Storage,VM-STD-4,418.14,hours,438.63,INR,us-east-1,False,david,dev,resource-8717,T-200,Customer phone 8668785946 reported outage,HIGH,I-66,v1,on-demand,reserved,,Project-A,OUTAGE,,1
U108, acct003 ,2026-07-21T09:53:00+01:00,AI,db_gp_2,152.63,minutes,90.37,USD,us-east-1,True,alice,prod,R5373,T-40,User email john@example.com cannot login,HIGH,,,reserved,spot,Engineering,Project-A,DEGRADED,86.0,83
U109,ACCT-002,2026/08/30 01:14,Storage,vm_std_4,472.42,seconds,908.13,EUR,US East 1,True,,test,resource-3957,T-158,Customer reported latency issue,LOW,,v2,spot,reserved,Engineering,Project-C,DEGRADED,,90
U110,ACCT-002,2026/03/29 14:51,Database,db_gp_2,181.38,hours,₹54.73,USD,us-east-1,False,david,dev,R4581,T-176,Customer reported latency issue,MEDIUM,,v3,on-demand,on-demand,Engineering,Project-B,OUTAGE,,83
U111,acct-001,2026/03/10 25:05,AI,VM-STD-4,127.92,hours,107.6,EUR,eu-west-1,False,charlie,test,resource-8526,T-65,Customer reported latency issue,MEDIUM,,v2,spot,on-demand,Finance,Project-A,DEGRADED,,90
U112,acct-001,2026-06-11T10:27:00+09:00,Networking,db_gp_2,4661.35,seconds,₹8171.58,EUR,ap south 1,False,david,,R8736,T-192,Customer reported latency issue,,I-75,v1,reserved,on-demand,Research,Project-C,OUTAGE,,90
U113,ACCT-002,2026/12/01 06:02,Compute,db_gp_2,255.13,minutes,296.66,USD,ap south 1,False,charlie,dev,R2189,T-105,Customer reported latency issue,,,v2,reserved,spot,Finance,Project-C,OUTAGE,,83
U114,acct-001,2026-03-29 17:40:00,Networking,vm_std_4,210.15,seconds,₹272.37,USD,eu-west-1,False,bob,test,resource-6581,T-100,Customer phone 7225955690 reported outage,LOW,,v2,spot,on-demand,Finance,Project-C,DEGRADED,,83
