Usage_ID,Account,TS_UTC,Service,SKU,Usage_seconds,Cost_INR,Region,Ticket_ID
U153,ACCT-002,2026-04-25 14:22:00+00:00,Compute,VM-STD-4,9451.8,0.0,us-east-1,T-7
U157,ACCT-001,2026-10-18 00:49:20+00:00,Database,VM-STD-4,964728.0000000001,20847.93,us-east-1,T-171
U159,ACCT-003,2026-07-27 22:02:01+00:00,AI,VM-STD-4,196.82,0.0,us-east-1,T-174
U161,ACCT-003,2026-05-28 04:59:00+00:00,AI,VM-STD-4,14223.6,27608.25,eu-west-1,T-153
U167,ACCT-003,2026-02-10 16:16:00+00:00,Compute,DB-GP-2,26265.0,0.0,ap-south-1,T-121
U171,ACCT-003,2026-01-18 13:40:51+00:00,Networking,VM-STD-4,407124.0,2138.52,eu-west-1,T-154
U180,ACCT-001,2026-10-10 23:31:34+00:00,Networking,DB-GP-2,1564704.0,0.0,ap-south-1,T-116
U182,ACCT-001,2026-10-19 06:46:41+00:00,Networking,DB-GP-2,907920.0,32925.6,us-east-1,T-196
U185,ACCT-001,2026-06-13 20:49:00+00:00,Database,VM-STD-4,396432.0,7547.47,ap-south-1,T-148
U186,ACCT-003,2026-08-02 12:21:00+00:00,Compute,VM-STD-4,261.53,35893.44,us-east-1,T-42
U189,ACCT-001,2026-12-11 08:27:58+00:00,Storage,VM-STD-4,142.82,0.0,eu-west-1,T-129
U190,ACCT-001,2026-05-21 09:26:00+00:00,Database,VM-STD-4,3219.0,2600.96,eu-west-1,T-122
U195,ACCT-003,2026-04-17 06:40:00+00:00,Networking,VM-STD-4,21864.0,52030.14,ap-south-1,T-162
U200,ACCT-002,2026-01-17 00:09:00+00:00,Compute,VM-STD-4,1511280.0,0.0,us-east-1,T-184
U205,ACCT-003,2026-08-24 16:53:00+00:00,AI,DB-GP-2,15760.800000000001,40444.04,ap-south-1,T-36
U206,ACCT-001,2026-11-17 12:53:00+00:00,AI,DB-GP-2,850896.0,7466.74,us-east-1,T-87
U215,ACCT-003,2026-02-11 16:47:58+00:00,AI,DB-GP-2,20293.2,20805.96,eu-west-1,T-153
U224,ACCT-003,2026-06-20 13:50:00+00:00,Compute,VM-STD-4,696636.0,27617.87,us-east-1,T-122
U230,ACCT-001,2026-09-13 01:20:39+00:00,Networking,VM-STD-4,6639.599999999999,0.0,us-east-1,T-144
U235,ACCT-003,2026-06-28 08:58:10+00:00,Storage,VM-STD-4,210.14,0.0,us-east-1,T-127
U237,ACCT-001,2026-03-15 17:38:00+00:00,Networking,DB-GP-2,1457856.0,24621.54,ap-south-1,T-166
U243,ACCT-003,2026-08-15 23:19:30+00:00,AI,DB-GP-2,203.14,7210.83,us-east-1,T-156
U244,ACCT-001,2026-06-29 20:55:57+00:00,Storage,DB-GP-2,8405.4,0.0,eu-west-1,T-103
U247,ACCT-003,2026-10-11 16:18:00+00:00,Networking,VM-STD-4,3149.4,5921.21,us-east-1,T-107
U255,ACCT-001,2026-10-06 16:00:32+00:00,Storage,DB-GP-2,183.75,11906.64,eu-west-1,T-54
U257,ACCT-001,2026-10-04 13:13:03+00:00,AI,VM-STD-4,20769.0,54089.66,us-east-1,T-141
U259,ACCT-002,2026-12-09 10:18:00+00:00,Database,VM-STD-4,156.59,22255.06,us-east-1,T-57
U262,ACCT-002,2026-05-16 12:08:00+00:00,Networking,DB-GP-2,493.77,0.0,ap-south-1,T-18
U263,ACCT-001,2026-01-10 22:08:00+00:00,AI,DB-GP-2,831780.0,19421.76,ap-south-1,T-113
U264,ACCT-001,2026-11-15 11:52:00+00:00,Networking,DB-GP-2,460872.00000000006,0.0,us-east-1,T-170
U265,ACCT-002,2026-05-20 21:23:00+00:00,Compute,VM-STD-4,15637.8,0.0,us-east-1,T-178
U267,ACCT-003,2026-09-21 08:29:00+00:00,Database,DB-GP-2,11124.0,0.0,us-east-1,T-67
U275,ACCT-001,2026-07-02 05:15:00+00:00,Database,DB-GP-2,422100.0,0.0,us-east-1,T-82
U280,ACCT-003,2026-05-03 14:02:00+00:00,Database,DB-GP-2,80.45,0.0,us-east-1,T-123
U284,ACCT-003,2026-02-22 00:57:44+00:00,AI,DB-GP-2,1581372.0,60766.67,eu-west-1,T-44
U286,ACCT-001,2026-08-05 01:50:36+00:00,Networking,DB-GP-2,929736.0,0.0,ap-south-1,T-86
U293,ACCT-002,2026-11-02 18:59:00+00:00,Database,DB-GP-2,706572.0,7902.12,us-east-1,T-22
U295,ACCT-003,2026-09-28 20:29:54+00:00,Database,DB-GP-2,369756.0,0.0,eu-west-1,T-167
U298,ACCT-001,2026-06-11 02:28:00+00:00,Storage,DB-GP-2,13235.4,31911.77,us-east-1,T-124
U299,ACCT-002,2026-11-30 13:22:00+00:00,Networking,DB-GP-2,14143.2,0.0,ap-south-1,T-82
U300,ACCT-002,2026-06-20 19:36:32+00:00,Storage,VM-STD-4,484.0,0.0,eu-west-1,T-136
U301,ACCT-001,2026-05-25 06:44:32+00:00,Database,DB-GP-2,1694484.0,0.0,us-east-1,T-99
U304,ACCT-002,2026-03-10 08:42:00+00:00,Networking,VM-STD-4,1150596.0,0.0,eu-west-1,T-52
U322,ACCT-002,2026-10-10 15:01:00+00:00,Storage,VM-STD-4,10134.6,15566.32,us-east-1,T-196
U329,ACCT-003,2026-07-10 02:17:00+00:00,Database,VM-STD-4,489.59,0.0,us-east-1,T-166
U332,ACCT-001,2026-02-17 04:31:24+00:00,Storage,DB-GP-2,1515708.0,14764.08,us-east-1,T-175
U339,ACCT-001,2026-04-24 23:23:02+00:00,AI,VM-STD-4,1761444.0,0.0,us-east-1,T-39
U342,ACCT-001,2026-08-15 05:34:57+00:00,AI,DB-GP-2,973944.0000000001,0.0,eu-west-1,T-94
U343,ACCT-003,2026-11-23 05:57:39+00:00,Storage,DB-GP-2,356.39,21021.49,eu-west-1,T-188
U344,ACCT-001,2026-12-13 07:19:55+00:00,Storage,DB-GP-2,304.59,0.0,us-east-1,T-80
U347,ACCT-001,2026-07-10 08:28:54+00:00,Database,DB-GP-2,32976.0,0.0,ap-south-1,T-121
U351,ACCT-003,2026-04-10 22:50:00+00:00,Database,DB-GP-2,2485.8,0.0,us-east-1,T-169
U354,ACCT-003,2026-07-20 14:50:00+00:00,Networking,DB-GP-2,427.48,0.0,us-east-1,T-140
U359,ACCT-001,2026-05-15 12:42:21+00:00,Networking,VM-STD-4,279.54,25930.41,us-east-1,T-190
U360,ACCT-003,2026-11-27 16:26:00+00:00,Storage,DB-GP-2,13362.0,0.0,eu-west-1,T-61
U361,ACCT-002,2026-02-24 10:49:45+00:00,AI,DB-GP-2,945000.0,0.0,eu-west-1,T-32
U369,ACCT-001,2026-10-21 02:51:22+00:00,Compute,DB-GP-2,219.64,9539.81,us-east-1,T-126
U373,ACCT-001,2026-04-01 18:05:51+00:00,AI,VM-STD-4,283.35,0.0,ap-south-1,T-99
U384,ACCT-001,2026-04-29 00:20:12+00:00,Storage,DB-GP-2,1708704.0,0.0,us-east-1,T-71
U393,ACCT-002,2026-07-14 00:07:00+00:00,AI,VM-STD-4,1416672.0,0.0,ap-south-1,T-189
U400,ACCT-001,2026-11-16 22:02:35+00:00,Database,VM-STD-4,266.17,45433.77,us-east-1,T-69
U401,ACCT-002,2026-08-23 09:23:00+00:00,Compute,DB-GP-2,9628.8,0.0,ap-south-1,T-15
U402,ACCT-001,2026-07-01 17:40:00+00:00,Compute,DB-GP-2,946836.0,0.0,eu-west-1,T-193
U411,ACCT-001,2026-05-31 21:55:14+00:00,Database,DB-GP-2,6425.03,0.0,us-east-1,T-111
U412,ACCT-002,2026-01-12 17:10:11+00:00,Networking,DB-GP-2,432.92,0.0,us-east-1,T-147
U413,ACCT-003,2026-08-15 01:32:36+00:00,Networking,DB-GP-2,4881276.0,239907.71,us-east-1,T-48
U414,ACCT-001,2026-08-16 00:55:00+00:00,Database,VM-STD-4,1330416.0,0.0,us-east-1,T-12
U415,ACCT-003,2026-02-26 15:14:00+00:00,Database,VM-STD-4,503280.00000000006,0.0,us-east-1,T-7
U426,ACCT-001,2026-05-31 13:26:38+00:00,Networking,VM-STD-4,1399.8,0.0,us-east-1,T-92
U427,ACCT-001,2026-08-06 03:36:05+00:00,Compute,VM-STD-4,1146672.0,0.0,ap-south-1,T-156
U428,ACCT-001,2026-07-25 23:13:00+00:00,AI,VM-STD-4,858816.0,0.0,us-east-1,T-4
U430,ACCT-003,2026-04-10 09:32:16+00:00,AI,VM-STD-4,29767.2,0.0,eu-west-1,T-78
U441,ACCT-002,2026-07-19 03:38:00+00:00,Storage,VM-STD-4,1173636.0,35125.37,us-east-1,T-104
U455,ACCT-001,2026-11-01 10:58:00+00:00,Compute,VM-STD-4,60.02,0.0,ap-south-1,T-84
U457,ACCT-003,2026-12-01 08:25:00+00:00,Compute,DB-GP-2,189.59,0.0,us-east-1,T-29
U458,ACCT-001,2026-09-08 08:11:28+00:00,Database,DB-GP-2,511777.20000000007,0.0,us-east-1,T-4
U463,ACCT-003,2026-02-28 08:28:47+00:00,Networking,DB-GP-2,1287000.0,49571.03,us-east-1,T-36
U464,ACCT-001,2026-02-13 13:29:36+00:00,Compute,VM-STD-4,225.86,6997.32,us-east-1,T-142
U465,ACCT-003,2026-11-03 03:59:00+00:00,Networking,VM-STD-4,1749744.0,0.0,ap-south-1,T-189
U466,ACCT-001,2026-04-23 14:44:00+00:00,Storage,VM-STD-4,483.39,0.0,us-east-1,T-111
U469,ACCT-003,2026-11-14 12:52:59+00:00,Networking,VM-STD-4,23142.0,27705.17,ap-south-1,T-179
U472,ACCT-002,2026-11-06 01:25:00+00:00,Storage,DB-GP-2,1645884.0,0.0,eu-west-1,T-46
U473,ACCT-001,2026-03-18 21:34:09+00:00,Networking,VM-STD-4,408996.0,0.0,ap-south-1,T-59
U477,ACCT-001,2026-07-10 17:22:36+00:00,Storage,DB-GP-2,61.06,0.0,eu-west-1,T-18
U478,ACCT-001,2026-01-13 02:01:00+00:00,AI,VM-STD-4,3549.0,0.0,eu-west-1,T-32
U492,ACCT-002,2026-07-14 11:51:00+00:00,Database,VM-STD-4,915192.0,27006.38,us-east-1,T-42
U494,ACCT-001,2026-01-20 16:35:34+00:00,Compute,DB-GP-2,336024.0,0.0,eu-west-1,T-97
U496,ACCT-001,2026-04-02 01:23:15+00:00,Database,VM-STD-4,324.57,0.0,eu-west-1,T-121
U497,ACCT-001,2026-05-21 19:02:00+00:00,Database,DB-GP-2,22727.4,0.0,eu-west-1,T-83
U498,ACCT-001,2026-02-05 12:32:00+00:00,Compute,VM-STD-4,1536.6,0.0,us-east-1,T-154
U499,ACCT-003,2026-08-03 16:09:00+00:00,Compute,VM-STD-4,1661652.0,12214.5,us-east-1,T-109
U505,ACCT-001,2026-07-23 08:18:00+00:00,Compute,DB-GP-2,162.37,0.0,ap-south-1,T-10
U513,ACCT-003,2026-09-12 20:06:04+00:00,Storage,VM-STD-4,18380.399999999998,33978.37,us-east-1,T-198
U514,ACCT-001,2026-05-30 01:45:49+00:00,Database,VM-STD-4,22316.4,0.0,us-east-1,T-102
U519,ACCT-001,2026-04-05 20:27:00+00:00,Database,DB-GP-2,37.6,6057.81,ap-south-1,T-10
U525,ACCT-002,2026-02-12 11:13:32+00:00,Compute,DB-GP-2,1113156.0,0.0,us-east-1,T-85
U526,ACCT-002,2026-08-04 16:01:00+00:00,Database,DB-GP-2,296.35,0.0,ap-south-1,T-23
U527,ACCT-002,2026-09-23 07:24:47+00:00,Compute,VM-STD-4,457524.0,0.0,us-east-1,T-7
U531,ACCT-001,2026-06-08 13:53:00+00:00,Networking,VM-STD-4,122616.00000000001,0.0,ap-south-1,T-59
U532,ACCT-001,2026-02-13 06:39:05+00:00,Networking,VM-STD-4,473.69,0.0,us-east-1,T-151
U536,ACCT-001,2026-01-17 18:32:00+00:00,Compute,VM-STD-4,8416.2,14529.69,ap-south-1,T-162
U537,ACCT-001,2026-11-28 14:26:00+00:00,Storage,VM-STD-4,16899.0,0.0,us-east-1,T-97
U546,ACCT-002,2026-04-28 09:31:00+00:00,Database,DB-GP-2,205.48,8754.3,us-east-1,T-32
U555,ACCT-003,2026-10-12 09:51:27+00:00,Networking,VM-STD-4,541764.0,12979.34,us-east-1,T-151
U556,ACCT-001,2026-02-03 12:00:09+00:00,Database,DB-GP-2,22554.600000000002,0.0,us-east-1,T-41
U565,ACCT-003,2026-06-13 17:55:32+00:00,Networking,VM-STD-4,26027.4,0.0,ap-south-1,T-101
U566,ACCT-001,2026-07-28 16:40:00+00:00,Compute,VM-STD-4,1082880.0,5887.66,us-east-1,T-115
U567,ACCT-001,2026-02-16 09:49:00+00:00,Database,VM-STD-4,43.38,4455.87,eu-west-1,T-50
U568,ACCT-003,2026-11-06 07:24:54+00:00,Compute,DB-GP-2,1433736.0,0.0,us-east-1,T-67
U572,ACCT-001,2026-05-22 21:13:00+00:00,Networking,VM-STD-4,1625.4,665.72,us-east-1,T-173
U573,ACCT-002,2026-11-04 00:00:27+00:00,Database,VM-STD-4,72.28,10823.23,us-east-1,T-192
U574,ACCT-002,2026-11-06 23:02:00+00:00,AI,VM-STD-4,568296.0,20746.52,us-east-1,T-71
U575,ACCT-001,2026-03-06 06:11:00+00:00,Networking,DB-GP-2,347.22,48828.34,ap-south-1,T-129
U578,ACCT-002,2026-05-09 13:07:00+00:00,Database,VM-STD-4,589356.0,10000.27,eu-west-1,T-165
U579,ACCT-003,2026-12-01 22:47:40+00:00,AI,VM-STD-4,12960.0,5757.52,ap-south-1,T-9
U582,ACCT-001,2026-04-06 06:37:00+00:00,Storage,VM-STD-4,513.0,1043.85,us-east-1,T-157
U587,ACCT-002,2026-11-11 06:17:00+00:00,Database,VM-STD-4,5103.6,0.0,us-east-1,T-119
U590,ACCT-003,2026-05-17 02:52:00+00:00,Storage,DB-GP-2,6336.0,0.0,ap-south-1,T-29
U596,ACCT-002,2026-02-26 05:04:00+00:00,Database,DB-GP-2,156744.0,3347.39,ap-south-1,T-103
U601,ACCT-001,2026-01-03 03:09:13+00:00,Networking,DB-GP-2,18087.0,16597.14,us-east-1,T-75
U604,ACCT-001,2026-08-14 19:43:06+00:00,AI,VM-STD-4,592159.8,911273.66,us-east-1,T-162
U609,ACCT-002,2026-03-06 14:06:00+00:00,Networking,VM-STD-4,330.03,0.0,ap-south-1,T-87
U611,ACCT-001,2026-05-26 03:09:00+00:00,Networking,VM-STD-4,58.48,0.0,eu-west-1,T-177
U613,ACCT-001,2026-06-13 06:51:00+00:00,Database,DB-GP-2,1393020.0,0.0,ap-south-1,T-44
U618,ACCT-001,2026-11-24 00:23:58+00:00,Networking,DB-GP-2,283.2,0.0,us-east-1,T-48
U621,ACCT-002,2026-03-09 04:58:08+00:00,Compute,VM-STD-4,322.62,24074.22,eu-west-1,T-75
U623,ACCT-001,2026-01-01 19:51:46+00:00,Networking,DB-GP-2,26198.399999999998,53892.96,eu-west-1,T-21
U628,ACCT-001,2026-04-11 11:20:00+00:00,Storage,DB-GP-2,769140.0,29389.24,us-east-1,T-17
U637,ACCT-001,2026-11-03 18:59:52+00:00,Networking,VM-STD-4,13297.2,24538.68,ap-south-1,T-184
U641,ACCT-003,2026-03-02 11:38:29+00:00,AI,DB-GP-2,12680.4,0.0,us-east-1,T-55
U649,ACCT-001,2026-10-11 23:57:00+00:00,Networking,DB-GP-2,274.99,19728.0,ap-south-1,T-179
U656,ACCT-001,2026-10-13 19:43:25+00:00,Database,DB-GP-2,837.0,1619.24,us-east-1,T-66
U657,ACCT-001,2026-12-07 10:47:24+00:00,Database,VM-STD-4,10748.4,13262.3,ap-south-1,T-153
U662,ACCT-002,2026-05-28 02:03:28+00:00,Networking,DB-GP-2,15142.2,0.0,us-east-1,T-142
U663,ACCT-002,2026-07-20 02:54:57+00:00,Database,DB-GP-2,157.29,0.0,eu-west-1,T-199
U666,ACCT-001,2026-03-09 12:24:50+00:00,Compute,DB-GP-2,22650.0,33719.84,ap-south-1,T-191
U673,ACCT-003,2026-01-26 22:17:31+00:00,Storage,VM-STD-4,293.55,0.0,eu-west-1,T-12
U679,ACCT-003,2026-04-09 23:26:30+00:00,Compute,DB-GP-2,18988.2,0.0,ap-south-1,T-15
U684,ACCT-003,2026-10-19 01:13:03+00:00,Storage,VM-STD-4,36108.0,892.08,us-east-1,T-55
U689,ACCT-002,2026-12-08 20:24:00+00:00,AI,VM-STD-4,178.94,0.0,ap-south-1,T-118
U694,ACCT-001,2026-02-13 17:10:00+00:00,Storage,VM-STD-4,199980.0,0.0,ap-south-1,T-175
U696,ACCT-003,2026-07-05 04:25:42+00:00,Database,VM-STD-4,826020.0,20537.59,us-east-1,T-24
U700,ACCT-002,2026-07-10 03:18:33+00:00,AI,DB-GP-2,4390.8,7036.87,us-east-1,T-94
U710,ACCT-002,2026-06-08 12:56:27+00:00,Database,VM-STD-4,899136.0,0.0,us-east-1,T-65
U712,ACCT-001,2026-05-13 22:19:33+00:00,Networking,DB-GP-2,8505.0,6061.35,ap-south-1,T-60
U714,ACCT-001,2026-10-02 17:42:00+00:00,Storage,DB-GP-2,272.9,6404.42,us-east-1,T-197
U716,ACCT-001,2026-06-28 12:37:00+00:00,Compute,DB-GP-2,7771.200000000001,0.0,ap-south-1,T-19
U717,ACCT-001,2026-05-14 13:22:00+00:00,AI,DB-GP-2,273.37,0.0,ap-south-1,T-9
U719,ACCT-001,2026-09-02 05:13:36+00:00,Storage,DB-GP-2,26007.6,0.0,us-east-1,T-62
U725,ACCT-001,2026-02-06 04:18:08+00:00,AI,VM-STD-4,432.6,504.94,ap-south-1,T-39
U730,ACCT-002,2026-05-31 17:29:15+00:00,Storage,VM-STD-4,49.4,2014.83,us-east-1,T-58
U731,ACCT-002,2026-04-10 22:38:00+00:00,Database,VM-STD-4,183348.0,2800.12,us-east-1,T-19
U733,ACCT-001,2026-01-29 10:44:27+00:00,Database,VM-STD-4,22.61,0.0,ap-south-1,T-71
U734,ACCT-001,2026-04-15 18:04:38+00:00,Database,DB-GP-2,21555.6,47351.89,us-east-1,T-70
U735,ACCT-003,2026-03-02 20:38:22+00:00,Storage,DB-GP-2,20946.600000000002,20465.75,ap-south-1,T-113
U738,ACCT-001,2026-05-24 14:05:01+00:00,Database,VM-STD-4,428940.0,9843.41,us-east-1,T-131
U746,ACCT-001,2026-10-05 22:08:00+00:00,Storage,VM-STD-4,1245636.0,0.0,eu-west-1,T-117
U755,ACCT-001,2026-09-12 03:17:00+00:00,Compute,DB-GP-2,3652.2,3278.6,us-east-1,T-156
U768,ACCT-002,2026-03-22 17:29:58+00:00,Networking,DB-GP-2,129.25,12069.25,us-east-1,T-170
U773,ACCT-001,2026-01-10 01:45:00+00:00,Networking,DB-GP-2,464.0,0.0,us-east-1,T-164
U776,ACCT-001,2026-02-17 09:56:47+00:00,AI,VM-STD-4,143.8,0.0,us-east-1,T-138
U777,ACCT-002,2026-02-16 01:01:39+00:00,Storage,DB-GP-2,250812.0,0.0,eu-west-1,T-135
U782,ACCT-002,2026-08-02 00:04:00+00:00,Database,DB-GP-2,1142964.0,0.0,ap-south-1,T-186
U784,ACCT-002,2026-11-30 01:07:00+00:00,Networking,DB-GP-2,29728.800000000003,0.0,us-east-1,T-111
U787,ACCT-003,2026-05-30 13:12:00+00:00,Networking,VM-STD-4,1093356.0,0.0,us-east-1,T-107
U788,ACCT-003,2026-04-16 03:49:41+00:00,Storage,DB-GP-2,58812.600000000006,72266.5,us-east-1,T-98
U790,ACCT-001,2026-10-20 18:30:00+00:00,Networking,DB-GP-2,189.87,0.0,us-east-1,T-126
U792,ACCT-002,2026-10-03 16:02:00+00:00,AI,DB-GP-2,346.55,0.0,us-east-1,T-149
U793,ACCT-001,2026-01-04 16:05:00+00:00,Compute,VM-STD-4,243648.00000000003,0.0,ap-south-1,T-108
U795,ACCT-001,2026-10-16 21:27:00+00:00,AI,VM-STD-4,229.46,4150.68,ap-south-1,T-117
U803,ACCT-003,2026-10-19 08:34:16+00:00,Networking,DB-GP-2,21279.600000000002,0.0,us-east-1,T-135
U805,ACCT-001,2026-09-29 22:51:00+00:00,Networking,VM-STD-4,435672.0,3926.28,eu-west-1,T-93
U806,ACCT-001,2026-03-26 14:34:08+00:00,Compute,DB-GP-2,1554696.0,0.0,eu-west-1,T-41
U808,ACCT-001,2026-06-18 11:12:17+00:00,Database,VM-STD-4,288.36,0.0,eu-west-1,T-104
U810,ACCT-003,2026-11-19 16:57:00+00:00,Storage,VM-STD-4,166.9,16098.45,ap-south-1,T-56
U820,ACCT-001,2026-05-27 16:02:00+00:00,Database,DB-GP-2,1332252.0,52812.79,eu-west-1,T-135
U826,ACCT-001,2026-01-01 03:25:58+00:00,Storage,DB-GP-2,804780.0,25343.24,ap-south-1,T-95
U828,ACCT-001,2026-10-28 06:18:00+00:00,AI,DB-GP-2,836316.0,0.0,ap-south-1,T-120
U836,ACCT-003,2026-04-17 21:38:01+00:00,Compute,DB-GP-2,27094.2,0.0,us-east-1,T-96
U842,ACCT-002,2026-05-14 14:03:16+00:00,Networking,VM-STD-4,1743516.0,30147.1,ap-south-1,T-46
U844,ACCT-001,2026-04-30 10:34:38+00:00,Networking,VM-STD-4,1739880.0,0.0,us-east-1,T-152
U850,ACCT-002,2026-01-03 16:39:00+00:00,AI,DB-GP-2,23904.0,460.42,us-east-1,T-79
U860,ACCT-001,2026-03-19 06:32:51+00:00,Networking,VM-STD-4,69.62,7351.73,ap-south-1,T-167
U867,ACCT-003,2026-10-15 12:47:33+00:00,Networking,DB-GP-2,3072.0,0.0,us-east-1,T-140
U870,ACCT-001,2026-10-22 17:23:00+00:00,Storage,VM-STD-4,1534284.0,26601.38,ap-south-1,T-196
U875,ACCT-001,2026-07-06 16:34:56+00:00,Networking,VM-STD-4,399.53,10309.04,us-east-1,T-77
U876,ACCT-002,2026-11-17 03:50:00+00:00,Database,VM-STD-4,187.45,0.0,eu-west-1,T-77
U881,ACCT-003,2026-08-06 19:31:56+00:00,AI,DB-GP-2,14518.8,26475.13,us-east-1,T-174
U885,ACCT-003,2026-11-25 15:30:21+00:00,AI,VM-STD-4,17408.399999999998,40185.0,ap-south-1,T-95
U888,ACCT-001,2026-05-23 22:17:00+00:00,Networking,VM-STD-4,145.0,16105.42,eu-west-1,T-67
U891,ACCT-002,2026-12-01 21:50:00+00:00,Storage,VM-STD-4,24212304.0,722816.48,us-east-1,T-94
U893,ACCT-003,2026-10-18 02:50:54+00:00,Database,DB-GP-2,599220.0,23270.25,eu-west-1,T-137
U896,ACCT-001,2026-08-28 09:17:44+00:00,Database,VM-STD-4,16105.800000000001,0.0,us-east-1,T-22
U900,ACCT-001,2026-03-21 01:17:48+00:00,Storage,VM-STD-4,702360.0,0.0,us-east-1,T-9
U903,ACCT-002,2026-07-10 06:42:46+00:00,AI,DB-GP-2,271.89,42335.61,us-east-1,T-148
U904,ACCT-001,2026-08-11 19:34:00+00:00,Networking,DB-GP-2,24538.800000000003,0.0,eu-west-1,T-37
U912,ACCT-002,2026-07-04 08:55:00+00:00,Database,DB-GP-2,442.08,0.0,us-east-1,T-3
U913,ACCT-002,2026-07-01 04:37:26+00:00,Database,DB-GP-2,14149.199999999999,0.0,us-east-1,T-124
U914,ACCT-002,2026-09-14 17:53:06+00:00,Networking,VM-STD-4,22840.8,0.0,ap-south-1,T-42
