Usage_ID,Account,TS,Service,SKU,Usage,Unit,Cost,Currency,Region,Free_Tier_Flag,Tag_Owner,Tag_Env,Resource_ID,Ticket_ID,Ticket_Text,Severity,Incident_ID,Price_Version_x,Pricing_Type,Purchase_Type,Department,Project,SLA_Event,Log_Skew_Seconds,FX_Rate,Usage_seconds,Duplicate_Flag,Spike_Flag,Resource_ID_Valid,Resource_Type,Incident_Linked,Price_Version_y,Effective_Date,Unit_Price,Cost_INR,Idle_Resource,Cost_Allocation_Valid
U8157,ACCT-003,2026-03-05 23:06:00,Networking,VM-STD-4,229.48,hours,340.77,EUR,ap-south-1,False,bob,unknown,R-4761,T-109,Customer phone [MASKED_PHONE] reported outage,LOW,I-62,v3,spot,spot,unknown,Project-C,NONE,0.0,90,826128.0,False,False,True,VM,True,v2,2025-01-01,0.15,30669.3,False,False
U8022,ACCT-003,2026-03-09 09:18:00,Compute,DB-GP-2,43.94,seconds,36.74,EUR,us-east-1,False,david,prod,R-9942,T-65,Customer phone [MASKED_PHONE] reported outage,MEDIUM,I-98,v3,reserved,on-demand,Sales,Project-C,NONE,0.0,90,43.94,False,False,True,DB,True,v2,2025-01-01,0.25,3306.6,True,True
U921,ACCT-002,2026-10-27 22:40:02,Storage,VM-STD-4,453.57,hours,164.63,USD,ap-south-1,False,david,test,R-1846,T-197,Customer reported latency issue,HIGH,NONE,v2,spot,spot,Finance,Project-A,NONE,118.0,83,1632852.0,False,False,True,VM,False,v2,2025-01-01,0.15,13664.29,False,True
U7291,ACCT-001,2026-07-01 01:23:31,Compute,VM-STD-4,15.01,hours,12.9,EUR,us-east-1,False,bob,dev,R-2935,T-101,Customer reported latency issue,HIGH,I-30,v3,on-demand,reserved,Sales,Project-B,NONE,29.0,90,54036.0,False,False,True,VM,True,v2,2025-01-01,0.15,1161.0,False,True
U7285,ACCT-001,2026-05-05 03:03:48,Storage,DB-GP-2,431.36,seconds,0.0,INR,us-east-1,True,david,unknown,R-5324,T-55,Customer phone [MASKED_PHONE] reported outage,LOW,I-29,v3,reserved,reserved,Sales,unknown,NONE,72.0,1,431.36,False,False,True,DB,True,v2,2025-01-01,0.25,0.0,True,True
U7128,ACCT-003,2026-04-10 22:01:55,Database,VM-STD-4,481.6,hours,0.0,INR,eu-west-1,True,david,dev,R-9414,T-125,Customer phone [MASKED_PHONE] reported outage,HIGH,NONE,,on-demand,on-demand,Finance,Project-A,NONE,65.0,1,1733760.0,False,False,True,VM,False,v2,2025-01-01,0.15,0.0,False,True
U8085,ACCT-001,2026-09-10 00:03:00,Database,DB-GP-2,49.15,minutes,0.0,USD,eu-west-1,True,unknown,prod,R-5617,T-78,User email [MASKED_EMAIL] cannot login,LOW,NONE,v2,spot,on-demand,Engineering,Project-A,DEGRADED,0.0,83,2949.0,False,False,True,DB,False,v2,2025-01-01,0.25,0.0,False,True
U890,ACCT-001,2026-11-04 00:15:00,Database,VM-STD-4,4728.44,seconds,0.0,INR,ap-south-1,True,unknown,test,R-1363,T-38,Customer phone [MASKED_PHONE] reported outage,LOW,I-82,,spot,spot,Engineering,Project-C,OUTAGE,0.0,1,4728.44,False,False,True,VM,True,v2,2025-01-01,0.15,0.0,False,True
U8161,ACCT-002,2026-01-17 20:48:46,Storage,VM-STD-4,333.1,minutes,0.0,INR,ap-south-1,True,charlie,prod,R-1850,T-104,User email [MASKED_EMAIL] cannot login,LOW,NONE,v3,reserved,on-demand,Research,Project-A,OUTAGE,74.0,1,19986.0,False,False,True,VM,False,v2,2025-01-01,0.15,0.0,False,True
U7200,ACCT-001,2026-07-29 13:29:54,Storage,VM-STD-4,33.17,hours,39.17,EUR,us-east-1,False,charlie,dev,R-2848,T-2,User email [MASKED_EMAIL] cannot login,HIGH,I-59,v2,reserved,on-demand,Sales,Project-C,DEGRADED,6.0,90,119412.0,False,False,True,VM,True,v2,2025-01-01,0.15,3525.3,False,True
U8009,ACCT-003,2026-10-04 18:15:43,AI,DB-GP-2,462.4,minutes,0.0,INR,us-east-1,True,alice,dev,R-1885,T-8,Customer reported latency issue,LOW,I-52,,spot,reserved,unknown,Project-B,NONE,77.0,1,27744.0,False,False,True,DB,True,v2,2025-01-01,0.25,0.0,False,False
U8088,ACCT-003,2026-10-12 23:57:00,Storage,VM-STD-4,195.13,hours,0.0,USD,us-east-1,True,charlie,prod,R-9818,T-50,Customer phone [MASKED_PHONE] reported outage,LOW,I-61,v3,reserved,on-demand,Research,Project-A,DEGRADED,0.0,83,702468.0,False,False,True,VM,True,v2,2025-01-01,0.15,0.0,False,True
U8166,ACCT-002,2026-07-31 14:59:04,AI,VM-STD-4,64.63,seconds,58.85,USD,us-east-1,False,bob,dev,R-4686,T-58,Customer reported latency issue,LOW,NONE,v2,on-demand,spot,Research,Project-A,OUTAGE,116.0,83,64.63,False,False,True,VM,False,v2,2025-01-01,0.15,4884.55,True,True
U7289,ACCT-002,2026-12-09 23:48:00,Storage,DB-GP-2,151.91,minutes,158.99,USD,us-east-1,False,unknown,test,R-9163,T-69,User email [MASKED_EMAIL] cannot login,MEDIUM,NONE,v3,spot,on-demand,Research,Project-C,NONE,0.0,83,9114.6,False,False,True,DB,False,v2,2025-01-01,0.25,13196.17,False,True
U8098,ACCT-001,2026-10-06 07:46:52,AI,VM-STD-4,129.42,hours,0.0,EUR,ap-south-1,True,alice,dev,R-2457,T-179,User email [MASKED_EMAIL] cannot login,LOW,I-75,v2,reserved,reserved,Finance,Project-C,NONE,68.0,90,465911.99999999994,False,False,True,VM,True,v2,2025-01-01,0.15,0.0,False,True
U885,ACCT-001,2026-03-22 06:31:00,Compute,DB-GP-2,280.61,minutes,121.22,EUR,eu-west-1,False,alice,unknown,R-4139,T-36,Customer phone [MASKED_PHONE] reported outage,LOW,NONE,v1,on-demand,reserved,Engineering,Project-B,OUTAGE,0.0,90,16836.600000000002,False,False,True,DB,False,v2,2025-01-01,0.25,10909.8,False,True
U7132,ACCT-001,2026-10-24 16:53:33,Database,DB-GP-2,313.35,minutes,0.0,INR,us-east-1,True,david,dev,R-8274,T-86,User email [MASKED_EMAIL] cannot login,MEDIUM,NONE,v3,spot,on-demand,unknown,Project-B,DEGRADED,87.0,1,18801.0,False,False,True,DB,False,v2,2025-01-01,0.25,0.0,False,False
U979,ACCT-003,2026-02-05 06:08:00,Database,VM-STD-4,48.72,seconds,16.68,USD,us-east-1,False,charlie,test,R-7828,T-149,Customer phone [MASKED_PHONE] reported outage,MEDIUM,NONE,v3,on-demand,on-demand,Research,Project-A,DEGRADED,0.0,83,48.72,False,False,True,VM,False,v2,2025-01-01,0.15,1384.44,True,True
U8015,ACCT-001,2026-11-17 09:30:45,AI,DB-GP-2,165.13,hours,102.38,EUR,ap-south-1,False,david,test,R-8849,T-140,Customer reported latency issue,MEDIUM,NONE,,spot,reserved,Research,unknown,OUTAGE,15.0,90,594468.0,False,False,True,DB,False,v2,2025-01-01,0.25,9214.2,False,True
U973,ACCT-002,2026-12-13 21:04:01,Compute,VM-STD-4,393.16,seconds,0.0,EUR,us-east-1,True,bob,dev,R-2268,T-173,Customer reported latency issue,LOW,NONE,v1,spot,reserved,unknown,Project-C,OUTAGE,119.0,90,393.16,False,False,True,VM,False,v2,2025-01-01,0.15,0.0,True,False
U8164,ACCT-001,2026-02-21 17:40:00,Storage,DB-GP-2,133.79,seconds,47.6,EUR,ap-south-1,False,unknown,dev,R-1521,T-35,Customer phone [MASKED_PHONE] reported outage,LOW,NONE,v1,spot,spot,unknown,Project-C,NONE,0.0,90,133.79,False,False,True,DB,False,v2,2025-01-01,0.25,4284.0,True,False
U7208,ACCT-001,2026-02-03 03:03:00,Storage,VM-STD-4,427.9,hours,0.0,USD,us-east-1,True,unknown,unknown,R-2893,T-45,Customer reported latency issue,LOW,NONE,v2,on-demand,spot,Sales,Project-B,NONE,0.0,83,1540440.0,False,False,True,VM,False,v2,2025-01-01,0.15,0.0,False,True
U8108,ACCT-001,2026-08-14 13:10:18,Networking,DB-GP-2,4348.17,minutes,0.0,EUR,eu-west-1,True,alice,unknown,R-6900,T-75,User email [MASKED_EMAIL] cannot login,HIGH,I-91,,reserved,on-demand,unknown,Project-A,NONE,102.0,90,260890.2,False,False,True,DB,True,v2,2025-01-01,0.25,0.0,False,False
U8089,ACCT-002,2026-06-16 15:09:09,Database,DB-GP-2,170.77,hours,145.63,USD,eu-west-1,False,bob,dev,R-6377,T-73,Customer reported latency issue,LOW,I-100,v3,reserved,spot,Sales,Project-B,OUTAGE,111.0,83,614772.0,False,False,True,DB,True,v2,2025-01-01,0.25,12087.29,False,True
U920,ACCT-001,2026-07-20 09:08:00,Database,VM-STD-4,626.64,seconds,668.46,USD,us-east-1,False,david,test,R-8809,T-170,Customer reported latency issue,MEDIUM,NONE,v2,spot,spot,Research,unknown,DEGRADED,0.0,83,626.64,False,False,True,VM,False,v2,2025-01-01,0.15,55482.18,False,True
U8007,ACCT-003,2026-06-07 17:39:00,AI,VM-STD-4,114.31,seconds,113.16,USD,eu-west-1,False,alice,test,R-6785,T-147,User email [MASKED_EMAIL] cannot login,HIGH,NONE,v1,spot,spot,Engineering,unknown,DEGRADED,0.0,83,114.31,False,False,True,VM,False,v2,2025-01-01,0.15,9392.28,True,True
U7288,ACCT-001,2026-05-30 03:42:00,Networking,VM-STD-4,323.83,hours,550.28,EUR,us-east-1,False,bob,test,R-6109,T-147,Customer reported latency issue,LOW,NONE,,on-demand,spot,unknown,unknown,NONE,0.0,90,1165788.0,False,False,True,VM,False,v2,2025-01-01,0.15,49525.2,False,False
U924,ACCT-001,2026-04-29 18:37:51,Compute,DB-GP-2,298.32,minutes,491.82,EUR,us-east-1,False,charlie,unknown,R-6333,T-160,Customer phone [MASKED_PHONE] reported outage,LOW,I-93,v1,on-demand,on-demand,unknown,Project-B,OUTAGE,69.0,90,17899.2,False,False,True,DB,True,v2,2025-01-01,0.25,44263.8,False,False
U8106,ACCT-001,2026-08-22 08:52:07,AI,VM-STD-4,114.42,minutes,0.0,INR,ap-south-1,True,charlie,prod,R-8848,T-54,Customer reported latency issue,MEDIUM,I-1,v2,reserved,on-demand,unknown,Project-A,DEGRADED,113.0,1,6865.2,False,False,True,VM,True,v2,2025-01-01,0.15,0.0,False,False
U8016,ACCT-003,2026-04-08 04:07:27,Database,VM-STD-4,216.22,minutes,0.0,USD,eu-west-1,True,unknown,unknown,R-6792,T-198,Customer phone [MASKED_PHONE] reported outage,LOW,NONE,v2,spot,spot,Sales,Project-A,DEGRADED,93.0,83,12973.2,False,False,True,VM,False,v2,2025-01-01,0.15,0.0,False,True
U8087,ACCT-001,2026-05-16 07:17:00,Compute,DB-GP-2,417.57,hours,652.34,EUR,us-east-1,False,unknown,prod,R-4154,T-189,User email [MASKED_EMAIL] cannot login,LOW,NONE,v1,on-demand,reserved,Engineering,Project-B,OUTAGE,0.0,90,1503252.0,False,False,True,DB,False,v2,2025-01-01,0.25,58710.6,False,True
U1295,ACCT-002,2026-08-05 01:04:00,Networking,VM-STD-4,130.36,hours,0.0,EUR,ap-south-1,True,alice,unknown,R-4693,T-58,Customer reported latency issue,HIGH,I-45,v3,on-demand,on-demand,unknown,unknown,NONE,0.0,90,469296.00000000006,False,False,True,VM,True,v2,2025-01-01,0.15,0.0,False,False
U7290,ACCT-001,2026-10-04 07:59:00,AI,VM-STD-4,362.93,seconds,0.0,EUR,us-east-1,True,unknown,test,R-7155,T-141,Customer phone [MASKED_PHONE] reported outage,LOW,NONE,v3,spot,spot,Research,Project-B,OUTAGE,0.0,90,362.93,False,False,True,VM,False,v2,2025-01-01,0.15,0.0,True,True
U1265,ACCT-001,2026-12-09 04:15:54,Networking,DB-GP-2,220.47,hours,0.0,EUR,us-east-1,True,david,test,R-7155,T-93,Customer phone [MASKED_PHONE] reported outage,LOW,I-16,,reserved,spot,unknown,Project-C,OUTAGE,6.0,90,793692.0,False,False,True,DB,True,v2,2025-01-01,0.25,0.0,False,False
U8168,ACCT-001,2026-05-16 21:37:59,Database,VM-STD-4,145.74,seconds,0.0,USD,us-east-1,True,bob,dev,R-9086,T-96,Customer reported latency issue,LOW,NONE,,spot,on-demand,unknown,Project-C,NONE,1.0,83,145.74,False,False,True,VM,False,v2,2025-01-01,0.15,0.0,True,False
U8018,ACCT-001,2026-06-17 05:56:11,Networking,DB-GP-2,89.51,hours,0.0,EUR,eu-west-1,True,alice,unknown,R-8172,T-111,User email [MASKED_EMAIL] cannot login,LOW,NONE,v2,on-demand,on-demand,Engineering,Project-C,NONE,49.0,90,322236.0,False,False,True,DB,False,v2,2025-01-01,0.25,0.0,False,True
U7141,ACCT-002,2026-09-01 03:28:00,AI,DB-GP-2,308.1,hours,0.0,EUR,us-east-1,True,david,prod,R-7208,T-101,User email [MASKED_EMAIL] cannot login,HIGH,NONE,v1,spot,spot,unknown,unknown,NONE,0.0,90,1109160.0,False,False,True,DB,False,v2,2025-01-01,0.25,0.0,False,False
U7198,ACCT-001,2026-02-04 05:26:50,Networking,DB-GP-2,409.04,hours,640.04,EUR,ap-south-1,False,david,dev,R-1876,T-190,User email [MASKED_EMAIL] cannot login,MEDIUM,NONE,v1,on-demand,reserved,Finance,Project-A,DEGRADED,10.0,90,1472544.0,False,False,True,DB,False,v2,2025-01-01,0.25,57603.6,False,True
U1271,ACCT-003,2026-02-27 23:00:18,AI,DB-GP-2,459.63,seconds,0.0,INR,us-east-1,True,alice,unknown,R-7069,T-137,Customer reported latency issue,LOW,I-16,v1,spot,reserved,Research,unknown,NONE,102.0,1,459.63,False,False,True,DB,True,v2,2025-01-01,0.25,0.0,True,True
U8067,ACCT-002,2026-01-10 10:32:51,Database,VM-STD-4,84.54,minutes,147.74,USD,us-east-1,False,david,unknown,R-6463,T-86,User email [MASKED_EMAIL] cannot login,LOW,I-14,,spot,reserved,Sales,unknown,NONE,69.0,83,5072.400000000001,False,False,True,VM,True,v2,2025-01-01,0.15,12262.42,False,True
U8033,ACCT-001,2026-03-13 15:34:32,AI,VM-STD-4,264.11,hours,0.0,USD,ap-south-1,True,david,test,R-8516,T-22,Customer phone [MASKED_PHONE] reported outage,MEDIUM,I-83,v3,spot,reserved,Finance,Project-C,NONE,88.0,83,950796.0,False,False,True,VM,True,v2,2025-01-01,0.15,0.0,False,True
U8028,ACCT-003,2026-03-20 11:27:19,Networking,DB-GP-2,327.62,seconds,198.1,USD,eu-west-1,False,charlie,dev,R-6138,T-41,Customer reported latency issue,HIGH,I-32,,spot,spot,unknown,Project-B,NONE,101.0,83,327.62,False,False,True,DB,True,v2,2025-01-01,0.25,16442.3,True,False
U8058,ACCT-003,2026-11-15 22:39:00,Compute,VM-STD-4,385.18,minutes,756.28,USD,ap-south-1,False,alice,dev,R-2713,T-40,User email [MASKED_EMAIL] cannot login,LOW,I-32,,spot,on-demand,Sales,Project-B,OUTAGE,0.0,83,23110.8,False,False,True,VM,True,v2,2025-01-01,0.15,62771.24,False,True
U7236,ACCT-001,2026-01-22 21:13:58,Database,DB-GP-2,69.71,minutes,0.0,INR,eu-west-1,True,alice,unknown,R-8560,T-48,User email [MASKED_EMAIL] cannot login,MEDIUM,NONE,v3,on-demand,on-demand,unknown,Project-B,DEGRADED,62.0,1,4182.599999999999,False,False,True,DB,False,v2,2025-01-01,0.25,0.0,False,False
U8132,ACCT-001,2026-01-10 22:47:42,Compute,DB-GP-2,162.43,minutes,0.0,USD,eu-west-1,True,unknown,prod,R-4453,T-25,User email [MASKED_EMAIL] cannot login,LOW,I-32,v1,on-demand,reserved,unknown,Project-A,NONE,18.0,83,9745.800000000001,False,False,True,DB,True,v2,2025-01-01,0.25,0.0,False,False
U8070,ACCT-003,2026-10-09 16:29:12,Compute,DB-GP-2,50.85,minutes,0.0,EUR,eu-west-1,True,alice,dev,R-8000,T-13,User email [MASKED_EMAIL] cannot login,HIGH,I-67,v3,spot,reserved,Sales,unknown,OUTAGE,108.0,90,3051.0,False,False,True,DB,True,v2,2025-01-01,0.25,0.0,False,True
U8120,ACCT-001,2026-08-02 06:54:29,Compute,VM-STD-4,309.61,seconds,0.0,EUR,ap-south-1,True,david,test,R-2303,T-2,Customer reported latency issue,LOW,NONE,v3,on-demand,on-demand,unknown,Project-C,NONE,31.0,90,309.61,False,False,True,VM,False,v2,2025-01-01,0.15,0.0,True,False
U950,ACCT-001,2026-10-17 06:47:00,Networking,DB-GP-2,24.95,seconds,0.0,USD,us-east-1,True,bob,prod,R-2729,T-127,User email [MASKED_EMAIL] cannot login,LOW,I-67,v3,on-demand,on-demand,Sales,Project-B,NONE,0.0,83,24.95,False,False,True,DB,True,v2,2025-01-01,0.25,0.0,True,True
U940,ACCT-002,2026-09-16 09:56:00,Database,DB-GP-2,241.35,minutes,0.0,USD,us-east-1,True,unknown,test,R-4737,T-176,Customer phone [MASKED_PHONE] reported outage,LOW,NONE,v2,reserved,spot,unknown,Project-A,DEGRADED,0.0,83,14481.0,False,False,True,DB,False,v2,2025-01-01,0.25,0.0,False,False
U8057,ACCT-002,2026-02-03 07:39:00,AI,VM-STD-4,497.93,minutes,0.0,INR,ap-south-1,True,david,prod,R-5778,T-113,Customer phone [MASKED_PHONE] reported outage,LOW,NONE,v2,on-demand,spot,unknown,Project-B,NONE,0.0,1,29875.8,False,False,True,VM,False,v2,2025-01-01,0.15,0.0,False,False
U7161,ACCT-001,2026-04-26 16:26:27,Database,VM-STD-4,297.61,seconds,391.41,EUR,eu-west-1,False,alice,test,R-9205,T-68,Customer reported latency issue,LOW,I-56,,reserved,on-demand,Research,Project-A,DEGRADED,93.0,90,297.61,False,False,True,VM,True,v2,2025-01-01,0.15,35226.9,True,True
U1284,ACCT-003,2026-04-04 00:10:06,Networking,DB-GP-2,413.11,seconds,0.0,EUR,eu-west-1,True,unknown,prod,R-9442,T-128,Customer reported latency issue,HIGH,NONE,,spot,on-demand,unknown,Project-B,DEGRADED,114.0,90,413.11,False,False,True,DB,False,v2,2025-01-01,0.25,0.0,True,False
U8133,ACCT-003,2026-04-29 17:57:00,AI,VM-STD-4,316.97,seconds,0.0,USD,us-east-1,True,bob,test,R-2955,T-61,Customer phone [MASKED_PHONE] reported outage,MEDIUM,I-38,v2,spot,reserved,unknown,Project-B,NONE,0.0,83,316.97,False,False,True,VM,True,v2,2025-01-01,0.15,0.0,True,False
U911,ACCT-002,2026-07-04 08:49:00,Networking,DB-GP-2,18.85,minutes,0.0,EUR,ap-south-1,True,bob,unknown,R-5074,T-112,Customer phone [MASKED_PHONE] reported outage,LOW,NONE,v1,spot,on-demand,Research,Project-A,OUTAGE,0.0,90,1131.0,False,False,True,DB,False,v2,2025-01-01,0.25,0.0,False,True
U7271,ACCT-003,2026-08-28 07:50:00,Networking,DB-GP-2,28.21,seconds,0.0,EUR,us-east-1,True,unknown,prod,R-9895,T-180,Customer reported latency issue,LOW,NONE,v1,spot,reserved,Engineering,Project-B,OUTAGE,0.0,90,28.21,False,False,True,DB,False,v2,2025-01-01,0.25,0.0,True,True
U7215,ACCT-003,2026-11-22 05:39:00,AI,DB-GP-2,78.38,minutes,69.68,EUR,eu-west-1,False,alice,test,R-7098,T-140,User email [MASKED_EMAIL] cannot login,MEDIUM,I-22,,spot,on-demand,unknown,Project-A,DEGRADED,0.0,90,4702.799999999999,False,False,True,DB,True,v2,2025-01-01,0.25,6271.2,False,False
U1306,ACCT-003,2026-05-11 01:13:00,AI,DB-GP-2,270.92,hours,256.47,USD,us-east-1,False,bob,prod,R-8682,T-27,User email [MASKED_EMAIL] cannot login,LOW,NONE,,spot,reserved,Research,unknown,NONE,0.0,83,975312.0,False,False,True,DB,False,v2,2025-01-01,0.25,21287.01,False,True
U1290,ACCT-001,2026-08-30 17:24:19,Database,VM-STD-4,378.09,seconds,0.0,EUR,eu-west-1,True,david,test,R-5888,T-194,Customer reported latency issue,LOW,NONE,v2,spot,reserved,unknown,Project-B,NONE,101.0,90,378.09,False,False,True,VM,False,v2,2025-01-01,0.15,0.0,True,False
U1312,ACCT-003,2026-06-04 13:05:00,Database,VM-STD-4,214.75,minutes,0.0,USD,us-east-1,True,unknown,dev,R-5125,T-58,Customer reported latency issue,LOW,NONE,,reserved,spot,Research,Project-A,OUTAGE,0.0,83,12885.0,False,False,True,VM,False,v2,2025-01-01,0.15,0.0,False,True
U7221,ACCT-003,2026-11-02 20:21:32,Storage,VM-STD-4,351.58,hours,296.02,EUR,us-east-1,False,david,test,R-7345,T-163,User email [MASKED_EMAIL] cannot login,LOW,NONE,v2,on-demand,spot,unknown,Project-C,DEGRADED,28.0,90,1265688.0,False,False,True,VM,False,v2,2025-01-01,0.15,26641.8,False,False
U8064,ACCT-001,2026-08-19 00:06:00,AI,VM-STD-4,17.99,hours,17.93,INR,us-east-1,False,charlie,test,R-6935,T-144,User email [MASKED_EMAIL] cannot login,MEDIUM,NONE,,spot,spot,unknown,Project-C,OUTAGE,0.0,1,64763.99999999999,False,False,True,VM,False,v2,2025-01-01,0.15,17.93,False,False
U909,ACCT-002,2026-09-22 16:29:19,Compute,VM-STD-4,474.96,hours,625.11,USD,ap-south-1,False,bob,test,R-3510,T-68,Customer phone [MASKED_PHONE] reported outage,LOW,NONE,v2,on-demand,spot,Engineering,Project-A,NONE,101.0,83,1709856.0,False,False,True,VM,False,v2,2025-01-01,0.15,51884.13,False,True
