Resource_ID,Account,Service,Region,Instance_Type,Pricing_Model,Created_TS,Status,Valid_Resource,Idle
R64,ACCT-003,Storage,ap-south-1,c5.xlarge,spot,2026/05/15 11:47,running,True,False
R65,ACCT-001,Storage,ap-south-1,m5.large,reserved,2026-02-28 11:28+00:00,running,True,False
R66,ACCT-002,Database,ap-south-1,m5.large,spot,2026/07/28 15:47,running,True,False
R67,ACCT-001,Ai,us-east-1,m5.large,spot,2026-03-07 09:46:00,stopped,True,True
R68,ACCT-002,Compute,us-east-1,t2.micro,spot,2026/09/01 04:58,stopped,True,True
R69,ACCT-002,Networking,us-east-1,c5.xlarge,ondemand,2026/05/05 10:48,stopped,True,True
R70,ACCT-002,Database,ap-south-1,t2.micro,ondemand,2026-07-08 15:26+00:00,running,True,False
R71,ACCT-004,Compute,ap-south-1,m5.large,reserved,2026-08-14 21:55:00,stopped,True,True
R72,ACCT-004,Ai,ap-south-1,c5.xlarge,spot,2026-01-06 04:45:00,running,True,False
R73,ACCT-003,Networking,ap-south-1,t2.micro,spot,2026-08-19 22:42+00:00,running,True,False
R74,ACCT-001,Ai,us-east-1,t2.micro,spot,2026/04/04 01:27,running,True,False
R75,ACCT-004,Ai,ap-south-1,c5.xlarge,spot,2026-10-30 17:19+00:00,running,True,False
R76,ACCT-001,Compute,ap-south-1,t2.micro,ondemand,2026/10/09 07:16,stopped,True,True
R77,ACCT-001,Ai,us-east-1,m5.large,spot,2026-06-25 00:57+00:00,stopped,True,True
R78,ACCT-003,Ai,ap-south-1,m5.large,ondemand,2026-02-10 03:53+00:00,stopped,True,True
R79,ACCT-002,Storage,us-east-1,t2.micro,spot,2026-12-04 11:37:00,stopped,True,True
R80,ACCT-004,Compute,ap-south-1,c5.xlarge,ondemand,2026-09-19 20:10:00,stopped,True,True
R81,ACCT-002,Compute,us-east-1,m5.large,spot,2026/09/30 08:56,running,True,False
R82,ACCT-003,Ai,ap-south-1,c5.xlarge,spot,2026/01/30 04:36,running,True,False
R83,ACCT-004,Ai,ap-south-1,m5.large,reserved,2026/11/15 12:40,stopped,True,True
R84,ACCT-001,Database,ap-south-1,t2.micro,reserved,2026-09-05 23:01:00,running,True,False
R85,ACCT-001,Storage,ap-south-1,c5.xlarge,spot,2026-06-02 13:07+00:00,stopped,True,True
R86,ACCT-001,Networking,ap-south-1,m5.large,spot,2026/06/09 14:21,stopped,True,True
R87,ACCT-004,Compute,us-east-1,c5.xlarge,ondemand,2026/10/15 17:34,stopped,True,True
R88,ACCT-002,Storage,us-east-1,t2.micro,reserved,2026/01/30 21:48,running,True,False
R89,ACCT-003,Networking,us-east-1,m5.large,reserved,2026-12-13 15:37+00:00,running,True,False
R90,ACCT-002,Networking,ap-south-1,c5.xlarge,reserved,2026-01-25 19:19+00:00,running,True,False
R91,ACCT-001,Networking,ap-south-1,t2.micro,ondemand,2026-11-24 17:44:00,running,True,False
R92,ACCT-004,Storage,ap-south-1,t2.micro,ondemand,2026-03-01 04:56+00:00,running,True,False
R93,ACCT-004,Database,ap-south-1,t2.micro,spot,2026-09-14 09:08:00,stopped,True,True
R94,ACCT-001,Ai,us-east-1,m5.large,spot,2026-03-18 02:25+00:00,running,True,False
R95,ACCT-002,Storage,ap-south-1,m5.large,reserved,2026/09/19 20:04,stopped,True,True
R96,ACCT-002,Database,ap-south-1,t2.micro,spot,2026-05-21 00:49+00:00,stopped,True,True
R97,ACCT-004,Database,ap-south-1,m5.large,reserved,2026-03-03 18:03+00:00,running,True,False
R98,ACCT-002,Networking,ap-south-1,t2.micro,reserved,2026-07-19 15:52:00,running,True,False
R99,ACCT-004,Ai,ap-south-1,t2.micro,reserved,2026-06-25 20:11+00:00,running,True,False
R100,ACCT-004,Database,us-east-1,m5.large,reserved,2026-08-27 13:23+00:00,running,True,False
R101,ACCT-004,Ai,ap-south-1,m5.large,reserved,2026/12/12 02:04,running,True,False
R102,ACCT-004,Ai,ap-south-1,c5.xlarge,spot,2026/11/11 06:30,stopped,True,True
R103,ACCT-003,Compute,ap-south-1,t2.micro,spot,2026-05-30 14:47:00,stopped,True,True
R104,ACCT-002,Compute,us-east-1,t2.micro,ondemand,2026/09/18 08:48,stopped,True,True
R105,ACCT-002,Database,ap-south-1,m5.large,ondemand,2026-03-09 04:36:00,stopped,True,True
R106,ACCT-003,Storage,us-east-1,t2.micro,spot,2026-02-09 05:28+00:00,stopped,True,True
R107,ACCT-004,Compute,us-east-1,c5.xlarge,spot,2026/07/30 10:05,stopped,True,True
R108,ACCT-002,Compute,ap-south-1,c5.xlarge,ondemand,2026-06-09 20:40:00,running,True,False
R109,ACCT-001,Compute,us-east-1,t2.micro,spot,2026/03/26 00:59,stopped,True,True
R110,ACCT-002,Compute,us-east-1,c5.xlarge,ondemand,2026/10/26 19:49,stopped,True,True
R111,ACCT-003,Database,ap-south-1,t2.micro,spot,2026-07-16 12:06:00,stopped,True,True
R112,ACCT-001,Database,us-east-1,c5.xlarge,ondemand,2026-10-09 09:32:00,stopped,True,True
R113,ACCT-003,Ai,us-east-1,m5.large,reserved,2026/03/12 01:00,running,True,False
R114,ACCT-004,Database,us-east-1,c5.xlarge,reserved,2026/11/16 00:27,stopped,True,True
R115,ACCT-002,Database,us-east-1,c5.xlarge,spot,2026-07-21 10:57+00:00,stopped,True,True
R116,ACCT-004,Database,us-east-1,c5.xlarge,reserved,2026/02/04 07:28,running,True,False
R117,ACCT-004,Database,ap-south-1,t2.micro,reserved,2026-07-21 09:25:00,running,True,False
R118,ACCT-001,Networking,ap-south-1,t2.micro,reserved,2026-05-21 10:49+00:00,running,True,False
R119,ACCT-002,Storage,ap-south-1,t2.micro,ondemand,2026-05-12 15:19:00,stopped,True,True
R120,ACCT-003,Compute,ap-south-1,m5.large,reserved,2026-01-27 17:53:00,stopped,True,True
R121,ACCT-004,Compute,us-east-1,t2.micro,reserved,2026/03/29 05:41,stopped,True,True
R122,ACCT-004,Database,ap-south-1,c5.xlarge,reserved,2026/09/15 16:34,stopped,True,True
R123,ACCT-002,Storage,ap-south-1,c5.xlarge,reserved,2026/09/03 11:06,stopped,True,True
R124,ACCT-001,Ai,ap-south-1,m5.large,ondemand,2026-11-05 09:06:00,running,True,False
R125,ACCT-003,Compute,us-east-1,c5.xlarge,reserved,2026-08-23 23:36:00,stopped,True,True
R126,ACCT-004,Compute,ap-south-1,m5.large,ondemand,2026-05-02 15:51:00,stopped,True,True
R127,ACCT-003,Compute,ap-south-1,c5.xlarge,spot,2026-12-04 18:45+00:00,running,True,False
R128,ACCT-002,Compute,us-east-1,t2.micro,ondemand,2026-12-12 22:55+00:00,running,True,False
R129,ACCT-004,Ai,ap-south-1,t2.micro,spot,2026-07-02 05:39+00:00,stopped,True,True
R130,ACCT-003,Storage,us-east-1,m5.large,reserved,2026-07-05 14:04+00:00,stopped,True,True
R131,ACCT-004,Networking,ap-south-1,m5.large,spot,2026-12-03 02:28:00,running,True,False
R132,ACCT-001,Compute,ap-south-1,c5.xlarge,reserved,2026-05-25 06:33:00,running,True,False
R133,ACCT-003,Database,us-east-1,m5.large,spot,2026-07-19 13:49+00:00,running,True,False
R134,ACCT-003,Networking,us-east-1,c5.xlarge,spot,2026/01/04 03:24,running,True,False
R135,ACCT-001,Storage,us-east-1,m5.large,reserved,2026-07-19 19:05+00:00,stopped,True,True
R136,ACCT-003,Ai,ap-south-1,t2.micro,ondemand,2026-02-28 05:46:00,running,True,False
R137,ACCT-001,Storage,us-east-1,c5.xlarge,ondemand,2026/10/01 21:59,running,True,False
R138,ACCT-004,Ai,us-east-1,t2.micro,ondemand,2026/04/07 17:47,stopped,True,True
R139,ACCT-003,Storage,us-east-1,t2.micro,reserved,2026-11-24 11:24:00,stopped,True,True
R140,ACCT-002,Networking,us-east-1,m5.large,reserved,2026-04-21 23:49:00,running,True,False
R141,ACCT-003,Storage,us-east-1,t2.micro,reserved,2026-01-11 23:58+00:00,stopped,True,True
R142,ACCT-003,Compute,us-east-1,c5.xlarge,reserved,2026-01-13 23:26+00:00,running,True,False
R143,ACCT-003,Storage,us-east-1,c5.xlarge,ondemand,2026-10-29 15:34:00,stopped,True,True
R144,ACCT-002,Database,us-east-1,c5.xlarge,spot,2026/05/10 21:36,running,True,False
R145,ACCT-001,Ai,us-east-1,t2.micro,spot,2026-04-27 06:05+00:00,running,True,False
R146,ACCT-003,Ai,ap-south-1,c5.xlarge,spot,2026/02/14 16:21,stopped,True,True
R147,ACCT-001,Networking,us-east-1,m5.large,spot,2026-07-03 04:40+00:00,running,True,False
R148,ACCT-004,Database,ap-south-1,m5.large,spot,2026-03-09 02:06+00:00,running,True,False
R149,ACCT-001,Compute,ap-south-1,m5.large,spot,2026-01-24 04:04+00:00,running,True,False
R150,ACCT-002,Storage,ap-south-1,c5.xlarge,ondemand,2026/11/29 08:38,running,True,False
R151,ACCT-001,Ai,us-east-1,m5.large,spot,2026-09-03 21:59:00,running,True,False
R152,ACCT-004,Storage,ap-south-1,t2.micro,reserved,2026-10-04 17:43:00,running,True,False
R153,ACCT-003,Storage,ap-south-1,c5.xlarge,reserved,2026-03-15 04:00:00,running,True,False
R154,ACCT-003,Storage,ap-south-1,c5.xlarge,spot,2026-10-31 04:01:00,running,True,False
R155,ACCT-003,Storage,ap-south-1,c5.xlarge,reserved,2026-10-24 21:52+00:00,running,True,False
R156,ACCT-003,Compute,ap-south-1,c5.xlarge,ondemand,2026-06-30 18:20:00,running,True,False
R157,ACCT-004,Database,us-east-1,c5.xlarge,reserved,2026-03-04 23:23+00:00,running,True,False
R158,ACCT-004,Storage,us-east-1,m5.large,spot,2026-05-06 14:41+00:00,stopped,True,True
R159,ACCT-001,Compute,ap-south-1,c5.xlarge,ondemand,2026/07/27 01:20,stopped,True,True
R160,ACCT-003,Networking,us-east-1,m5.large,spot,2026/11/27 08:56,stopped,True,True
R161,ACCT-003,Networking,us-east-1,c5.xlarge,spot,2026-03-26 01:26+00:00,stopped,True,True
R162,ACCT-003,Compute,us-east-1,t2.micro,ondemand,2026-03-08 13:31+00:00,stopped,True,True
R163,ACCT-004,Database,ap-south-1,t2.micro,ondemand,2026-07-31 16:45:00,stopped,True,True
R164,ACCT-002,Database,ap-south-1,m5.large,spot,2026-02-17 10:44:00,stopped,True,True
R165,ACCT-001,Compute,us-east-1,t2.micro,spot,2026-01-12 15:46:00,stopped,True,True
R166,ACCT-004,Compute,ap-south-1,t2.micro,spot,2026-04-04 05:52+00:00,running,True,False
R167,ACCT-004,Storage,ap-south-1,c5.xlarge,spot,2026/08/27 21:50,running,True,False
R168,ACCT-001,Ai,us-east-1,t2.micro,reserved,2026-01-12 20:05+00:00,running,True,False
R169,ACCT-001,Storage,us-east-1,m5.large,spot,2026-11-15 13:37+00:00,running,True,False
R170,ACCT-001,Compute,ap-south-1,m5.large,reserved,2026-10-13 04:23+00:00,stopped,True,True
R171,ACCT-003,Networking,ap-south-1,c5.xlarge,ondemand,2026/11/01 22:13,stopped,True,True
R172,ACCT-004,Ai,us-east-1,t2.micro,spot,2026/03/04 08:06,running,True,False
R173,ACCT-001,Storage,us-east-1,t2.micro,ondemand,2026-09-26 21:53:00,stopped,True,True
R174,ACCT-001,Database,ap-south-1,t2.micro,reserved,2026-05-16 23:09+00:00,running,True,False
R175,ACCT-002,Database,ap-south-1,c5.xlarge,spot,2026-04-21 04:50:00,running,True,False
R176,ACCT-002,Compute,us-east-1,t2.micro,reserved,2026-01-04 05:44:00,running,True,False
R177,ACCT-003,Networking,ap-south-1,m5.large,reserved,2026-02-21 01:14:00,running,True,False
R178,ACCT-003,Networking,ap-south-1,m5.large,spot,2026/10/04 01:12,stopped,True,True
R179,ACCT-001,Compute,us-east-1,m5.large,reserved,2026/02/08 19:07,stopped,True,True
R180,ACCT-004,Networking,us-east-1,c5.xlarge,reserved,2026/11/18 05:16,stopped,True,True
R181,ACCT-001,Storage,us-east-1,c5.xlarge,reserved,2026-07-28 04:05+00:00,stopped,True,True
R182,ACCT-001,Networking,us-east-1,t2.micro,reserved,2026/05/19 01:19,stopped,True,True
R183,ACCT-003,Storage,ap-south-1,c5.xlarge,ondemand,2026/10/12 09:58,running,True,False
R184,ACCT-004,Storage,us-east-1,m5.large,spot,2026/06/28 17:13,running,True,False
R185,ACCT-002,Storage,us-east-1,c5.xlarge,ondemand,2026/11/12 23:48,running,True,False
R186,ACCT-002,Compute,us-east-1,c5.xlarge,ondemand,2026-10-23 12:59:00,running,True,False
R187,ACCT-004,Networking,us-east-1,m5.large,reserved,2026-09-08 22:57+00:00,running,True,False
R188,ACCT-004,Compute,us-east-1,t2.micro,ondemand,2026-07-03 04:14:00,running,True,False
R189,ACCT-002,Database,us-east-1,t2.micro,spot,2026-06-04 18:04+00:00,running,True,False
R190,ACCT-002,Compute,us-east-1,c5.xlarge,reserved,2026/03/06 14:29,running,True,False
R191,ACCT-004,Networking,us-east-1,m5.large,ondemand,2026/11/15 23:13,running,True,False
R192,ACCT-003,Database,us-east-1,t2.micro,spot,2026-10-13 17:55+00:00,running,True,False
R193,ACCT-004,Ai,us-east-1,c5.xlarge,spot,2026/06/03 02:44,stopped,True,True
R194,ACCT-002,Compute,ap-south-1,c5.xlarge,spot,2026/08/07 01:18,running,True,False
R195,ACCT-001,Compute,ap-south-1,c5.xlarge,ondemand,2026-12-07 08:10:00,running,True,False
R196,ACCT-002,Networking,us-east-1,m5.large,ondemand,2026/03/29 02:39,stopped,True,True
R197,ACCT-003,Storage,ap-south-1,m5.large,ondemand,2026/05/18 09:25,stopped,True,True
R198,ACCT-003,Database,ap-south-1,m5.large,ondemand,2026-09-23 03:15+00:00,running,True,False
R199,ACCT-002,Database,us-east-1,t2.micro,spot,2026-09-06 03:33+00:00,stopped,True,True
R200,ACCT-003,Database,us-east-1,c5.xlarge,reserved,2026/11/17 14:53,stopped,True,True
R201,ACCT-004,Database,ap-south-1,c5.xlarge,reserved,2026-03-27 19:15:00,stopped,True,True
R202,ACCT-004,Storage,ap-south-1,m5.large,spot,2026-10-01 20:53+00:00,running,True,False
R203,ACCT-004,Storage,ap-south-1,m5.large,spot,2026-11-10 19:06:00,running,True,False
R204,ACCT-002,Ai,ap-south-1,m5.large,reserved,2026/09/24 06:24,running,True,False
R205,ACCT-003,Storage,ap-south-1,c5.xlarge,reserved,2026-03-31 05:11+00:00,running,True,False
R206,ACCT-003,Compute,ap-south-1,t2.micro,reserved,2026-03-11 22:45+00:00,stopped,True,True
R207,ACCT-002,Storage,ap-south-1,c5.xlarge,reserved,2026-09-24 08:28+00:00,running,True,False
R208,ACCT-002,Database,us-east-1,t2.micro,spot,2026-12-11 05:34:00,stopped,True,True
R209,ACCT-004,Storage,ap-south-1,m5.large,reserved,2026-06-26 22:54:00,stopped,True,True
R210,ACCT-004,Storage,ap-south-1,m5.large,spot,2026/07/27 15:39,stopped,True,True
R211,ACCT-001,Compute,us-east-1,c5.xlarge,spot,2026-02-19 11:56:00,running,True,False
R212,ACCT-003,Networking,ap-south-1,c5.xlarge,reserved,2026-02-19 22:16+00:00,running,True,False
R213,ACCT-003,Ai,ap-south-1,m5.large,spot,2026-03-13 17:23+00:00,stopped,True,True
R214,ACCT-004,Ai,ap-south-1,c5.xlarge,ondemand,2026/12/03 11:53,stopped,True,True
R215,ACCT-004,Ai,ap-south-1,c5.xlarge,reserved,2026-01-12 18:26:00,stopped,True,True
R216,ACCT-002,Compute,ap-south-1,c5.xlarge,spot,2026-05-23 22:33+00:00,stopped,True,True
R217,ACCT-003,Compute,ap-south-1,c5.xlarge,reserved,2026-03-25 23:02+00:00,running,True,False
R218,ACCT-004,Networking,us-east-1,t2.micro,spot,2026-06-27 09:58+00:00,running,True,False
R219,ACCT-001,Database,us-east-1,m5.large,spot,2026/09/21 11:30,running,True,False
R220,ACCT-003,Database,ap-south-1,t2.micro,ondemand,2026-02-09 07:10:00,running,True,False
R221,ACCT-001,Database,ap-south-1,t2.micro,spot,2026/03/18 19:17,stopped,True,True
R222,ACCT-004,Ai,us-east-1,m5.large,spot,2026-06-16 00:31+00:00,running,True,False
R223,ACCT-004,Ai,us-east-1,c5.xlarge,reserved,2026-04-05 06:30+00:00,stopped,True,True
R224,ACCT-001,Networking,us-east-1,t2.micro,ondemand,2026-10-20 22:37:00,stopped,True,True
R225,ACCT-004,Ai,ap-south-1,t2.micro,spot,2026-10-04 22:25:00,stopped,True,True
R226,ACCT-001,Networking,us-east-1,m5.large,ondemand,2026-05-30 14:46+00:00,running,True,False
R227,ACCT-001,Compute,ap-south-1,c5.xlarge,spot,2026-03-29 02:44:00,stopped,True,True
R228,ACCT-001,Storage,ap-south-1,t2.micro,spot,2026/08/13 07:12,running,True,False
R229,ACCT-004,Ai,us-east-1,t2.micro,reserved,2026-04-10 05:17:00,stopped,True,True
R230,ACCT-001,Compute,ap-south-1,c5.xlarge,ondemand,2026-02-03 08:39+00:00,stopped,True,True
R231,ACCT-001,Compute,us-east-1,m5.large,spot,2026-07-02 09:37+00:00,running,True,False
R232,ACCT-002,Storage,ap-south-1,c5.xlarge,ondemand,2026-08-17 16:32+00:00,running,True,False
R233,ACCT-003,Ai,us-east-1,t2.micro,ondemand,2026-03-06 20:45:00,stopped,True,True
R234,ACCT-001,Compute,ap-south-1,t2.micro,ondemand,2026-01-10 21:07+00:00,stopped,True,True
R235,ACCT-002,Compute,us-east-1,c5.xlarge,spot,2026-08-30 02:09+00:00,running,True,False
R236,ACCT-003,Networking,us-east-1,t2.micro,ondemand,2026/07/02 11:51,stopped,True,True
R237,ACCT-003,Database,us-east-1,t2.micro,reserved,2026-06-11 02:40:00,stopped,True,True
R238,ACCT-001,Storage,us-east-1,m5.large,spot,2026/07/05 12:52,running,True,False
R239,ACCT-004,Compute,ap-south-1,t2.micro,ondemand,2026-04-15 01:13+00:00,running,True,False
R240,ACCT-004,Compute,ap-south-1,t2.micro,reserved,2026/06/30 12:03,running,True,False
R241,ACCT-001,Ai,us-east-1,t2.micro,reserved,2026-07-08 14:27:00,running,True,False
R242,ACCT-002,Networking,us-east-1,m5.large,ondemand,2026-08-09 00:02:00,stopped,True,True
R243,ACCT-003,Database,ap-south-1,c5.xlarge,ondemand,2026-09-27 08:16+00:00,running,True,False
R244,ACCT-002,Storage,us-east-1,t2.micro,spot,2026-08-27 21:59:00,stopped,True,True
R245,ACCT-002,Networking,ap-south-1,m5.large,spot,2026-05-13 07:39:00,running,True,False
R246,ACCT-001,Networking,us-east-1,c5.xlarge,ondemand,2026-10-05 18:12:00,running,True,False
R247,ACCT-004,Database,ap-south-1,m5.large,reserved,2026/03/12 05:01,running,True,False
R248,ACCT-002,Storage,us-east-1,m5.large,reserved,2026-04-05 03:09:00,running,True,False
R249,ACCT-004,Ai,us-east-1,m5.large,reserved,2026/09/09 16:14,running,True,False
R250,ACCT-002,Ai,us-east-1,c5.xlarge,spot,2026/03/02 08:53,running,True,False
R251,ACCT-003,Compute,us-east-1,m5.large,ondemand,2026/04/16 03:29,stopped,True,True
R252,ACCT-003,Database,us-east-1,m5.large,ondemand,2026/07/12 09:12,stopped,True,True
R253,ACCT-002,Storage,us-east-1,m5.large,reserved,2026-05-21 16:59:00,running,True,False
R254,ACCT-002,Ai,ap-south-1,m5.large,reserved,2026/09/08 11:52,stopped,True,True
R255,ACCT-003,Networking,us-east-1,t2.micro,reserved,2026-08-03 00:34+00:00,running,True,False
R256,ACCT-002,Database,ap-south-1,t2.micro,ondemand,2026-07-09 11:23:00,running,True,False
R257,ACCT-001,Networking,ap-south-1,t2.micro,reserved,2026-10-24 21:12:00,stopped,True,True
R258,ACCT-003,Database,ap-south-1,t2.micro,spot,2026-08-29 01:38:00,running,True,False
R259,ACCT-002,Database,us-east-1,c5.xlarge,spot,2026/01/05 10:18,running,True,False
R260,ACCT-001,Storage,us-east-1,m5.large,reserved,2026/01/02 10:30,stopped,True,True
R261,ACCT-001,Networking,us-east-1,t2.micro,spot,2026-08-27 16:41+00:00,stopped,True,True
R262,ACCT-003,Database,ap-south-1,t2.micro,spot,2026-02-27 22:14:00,running,True,False
R263,ACCT-001,Networking,us-east-1,c5.xlarge,reserved,2026-01-19 03:44+00:00,stopped,True,True
R264,ACCT-004,Compute,ap-south-1,c5.xlarge,spot,2026-02-19 23:50:00,stopped,True,True
R265,ACCT-003,Database,us-east-1,t2.micro,spot,2026-03-31 01:46:00,running,True,False
R266,ACCT-004,Ai,us-east-1,m5.large,spot,2026-02-10 21:33+00:00,running,True,False
R267,ACCT-002,Database,us-east-1,c5.xlarge,spot,2026-05-03 16:58:00,running,True,False
R268,ACCT-004,Storage,ap-south-1,t2.micro,reserved,2026/11/24 01:07,stopped,True,True
R269,ACCT-003,Ai,us-east-1,m5.large,reserved,2026-09-09 12:38+00:00,running,True,False
R270,ACCT-003,Compute,ap-south-1,c5.xlarge,ondemand,2026-01-11 17:49+00:00,running,True,False
R271,ACCT-003,Networking,us-east-1,m5.large,reserved,2026-06-23 19:16:00,running,True,False
R272,ACCT-002,Networking,us-east-1,m5.large,reserved,2026-03-18 19:47:00,running,True,False
R273,ACCT-001,Database,us-east-1,c5.xlarge,spot,2026-06-15 17:49+00:00,stopped,True,True
R274,ACCT-004,Ai,ap-south-1,c5.xlarge,ondemand,2026/11/28 01:47,stopped,True,True
