Event_ID,Account,Service,Region,Event_TS,Severity
E30, acct-001 ,Storage,ap-south-1,2026-07-25 08:22:00,medium
E31,acct-003,Database,ap-south-1,2026-08-07 06:23+00:00,high
E32,ACCT-002,Networking,ap-south-1,2026-06-29 21:59:00,medium
E33,ACCT-004,Storage,ap-south-1,2026-09-26 07:53+00:00,low
E34,ACCT-002,Networking,us-east-1,2026-10-17 10:21:00,low
E35,ACCT-002,Networking,ap-south-1,2026/08/17 12:29,medium
E36,ACCT-004,Networking,ap-south-1,2026-03-28 08:26:00,high
E37,ACCT-004,Storage,ap-south-1,2026-01-11 00:56+00:00,high
E38, acct-001 ,Storage,ap-south-1,2026/08/29 10:08,low
E39,ACCT-002,Networking,us-east-1,2026-02-23 06:30+00:00,high
E40, acct-001 ,Networking,ap-south-1,2026/09/10 06:31,low
E41,ACCT-004,AI,us-east-1,2026-08-10 08:59+00:00,low
E42,ACCT-004,Networking,us-east-1,2026/05/19 10:18,medium
E43,ACCT-002,Database,us-east-1,2026-08-18 21:48+00:00,high
E44,ACCT-002,Storage,ap-south-1,2026/02/19 12:57,medium
E45,ACCT-004,Database,ap-south-1,2026/09/25 05:31,medium
E46,acct-003,AI,us-east-1,2026-08-15 13:11+00:00,high
E47,ACCT-004,Database,ap-south-1,2026-03-11 13:53:00,high
E48,ACCT-004,Database,ap-south-1,2026/10/08 15:30,medium
E49, acct-001 ,Database,us-east-1,2026/05/08 00:15,medium
E50,acct-003,Storage,ap-south-1,2026/04/02 15:02,medium
E51, acct-001 ,Database,ap-south-1,2026-01-27 10:42+00:00,medium
E52,ACCT-004,AI,ap-south-1,2026-02-18 05:43+00:00,high
E53,ACCT-004,Compute,ap-south-1,2026-08-28 02:45+00:00,high
E54,ACCT-004,AI,us-east-1,2026-11-09 19:51:00,high
E55,ACCT-004,Networking,us-east-1,2026-09-07 07:37+00:00,medium
E56,acct-003,Networking,us-east-1,2026/10/28 10:55,medium
E57,acct-003,AI,us-east-1,2026-06-13 06:26+00:00,low
E58,ACCT-002,Networking,ap-south-1,2026/07/17 23:45,high
E59, acct-001 ,Networking,ap-south-1,2026-09-28 10:17:00,high
E60, acct-001 ,AI,ap-south-1,2026-08-27 15:15:00,low
E61,ACCT-004,AI,us-east-1,2026/01/12 13:48,medium
E62, acct-001 ,Storage,us-east-1,2026/04/16 21:21,medium
E63, acct-001 ,AI,us-east-1,2026-04-10 19:25:00,medium
E64,ACCT-002,Storage,ap-south-1,2026-09-18 13:49+00:00,high
E65,ACCT-002,Storage,us-east-1,2026-08-11 12:45:00,low
E66,ACCT-002,Compute,ap-south-1,2026-06-07 02:12:00,low
E67,ACCT-002,Storage,ap-south-1,2026-10-31 07:54+00:00,high
E68,acct-003,Compute,us-east-1,2026-08-01 20:48+00:00,low
E69, acct-001 ,Database,us-east-1,2026-08-12 02:18:00,medium
E70,acct-003,Networking,ap-south-1,2026/11/11 18:03,medium
E71,ACCT-002,AI,ap-south-1,2026-01-16 21:36+00:00,high
E72,acct-003,AI,us-east-1,2026/03/04 06:15,high
E73,acct-003,Database,us-east-1,2026/02/10 00:05,low
E74,acct-003,Networking,us-east-1,2026-05-29 15:15:00,medium
E75,ACCT-004,Compute,us-east-1,2026/06/02 06:43,medium
E76,acct-003,Networking,ap-south-1,2026-04-13 05:23+00:00,medium
E77,ACCT-002,Compute,ap-south-1,2026-07-20 11:08+00:00,high
E78,ACCT-004,Compute,us-east-1,2026-05-12 05:24:00,medium
E79,acct-003,Storage,us-east-1,2026-02-11 11:31+00:00,high
E80,acct-003,Networking,ap-south-1,2026-01-06 07:42:00,low
E81,ACCT-004,Database,us-east-1,2026/11/30 20:23,medium
E82,ACCT-002,Storage,ap-south-1,2026-06-28 04:57+00:00,medium
E83,ACCT-004,Database,ap-south-1,2026-04-14 03:32:00,low
E84,ACCT-004,Compute,ap-south-1,2026/02/27 00:52,high
E85,ACCT-004,Networking,ap-south-1,2026-02-28 17:51+00:00,high
E86, acct-001 ,AI,ap-south-1,2026-02-05 18:02:00,medium
E87, acct-001 ,Compute,ap-south-1,2026/04/24 20:28,low
E88,acct-003,AI,ap-south-1,2026-02-25 02:04:00,low
E89, acct-001 ,AI,us-east-1,2026-08-08 13:39:00,low
E90, acct-001 ,AI,ap-south-1,2026-03-08 10:44:00,high
E91,ACCT-004,AI,us-east-1,2026-08-01 19:05+00:00,medium
E92, acct-001 ,Networking,ap-south-1,2026-01-27 03:32+00:00,high
E93,acct-003,AI,ap-south-1,2026-10-20 18:56+00:00,high
E94,ACCT-002,Storage,us-east-1,2026/07/07 14:59,low
E95,ACCT-004,Storage,ap-south-1,2026/05/13 07:11,medium
E96,ACCT-002,Storage,ap-south-1,2026-11-11 19:19:00,medium
E97,acct-003,AI,ap-south-1,2026-09-25 03:18+00:00,high
E98,acct-003,Database,us-east-1,2026/01/24 21:57,high
E99,ACCT-004,Networking,ap-south-1,2026-07-02 18:46+00:00,medium
E100,acct-003,Storage,us-east-1,2026/01/07 18:40,low
E101,ACCT-004,Storage,us-east-1,2026-03-19 20:43:00,low
E102,ACCT-004,AI,ap-south-1,2026-02-02 06:37+00:00,high
E103,ACCT-002,Networking,ap-south-1,2026-07-30 22:02:00,low
E104,ACCT-002,Database,ap-south-1,2026/09/03 11:23,high
E105,ACCT-002,Storage,us-east-1,2026/10/17 03:32,high
E106,ACCT-002,Compute,ap-south-1,2026-11-06 13:24+00:00,high
E107,ACCT-004,Compute,ap-south-1,2026/09/08 05:00,low
E108,acct-003,Storage,us-east-1,2026-05-07 10:17:00,medium
E109,ACCT-004,Database,us-east-1,2026-07-19 15:32+00:00,low
E110,ACCT-002,AI,ap-south-1,2026-08-20 04:29:00,low
E111,ACCT-004,Networking,ap-south-1,2026-05-27 21:17:00,high
E112, acct-001 ,Database,ap-south-1,2026/07/23 17:21,medium
E113, acct-001 ,Networking,us-east-1,2026-10-10 14:20:00,high
E114,ACCT-004,Networking,ap-south-1,2026/11/22 02:49,medium
E115,ACCT-002,AI,ap-south-1,2026/02/16 01:12,high
E116,acct-003,Compute,us-east-1,2026/11/25 15:17,high
E117,ACCT-002,AI,ap-south-1,2026-05-07 01:37:00,low
E118, acct-001 ,Storage,ap-south-1,2026-06-17 14:04+00:00,high
E119,ACCT-004,Database,us-east-1,2026/06/29 10:40,low
