Ticket_ID,Severity,Issue_Type,Description,Created_TS
T-44,low,outage,Customer reported issue 9876543210 with service,2026-04-27 19:55:00
T-45,medium,performance,Customer reported issue 9876543210 with service,2026-09-29 01:26+00:00
T-46,low,performance,Customer reported issue 9876543210 with service,2026-06-15 03:45+00:00
T-47,medium,performance,Customer reported issue 9876543210 with service,2026-09-21 22:50+00:00
T-48,low,billing,Customer reported issue 9876543210 with service,2026-04-23 04:58+00:00
T-49,low,performance,Customer reported issue 9876543210 with service,2026-06-29 12:04:00
T-50,medium,outage,Customer reported issue 9876543210 with service,2026/10/20 03:01
T-51,high,outage,Customer reported issue 9876543210 with service,2026-10-08 08:34+00:00
T-52,low,outage,Customer reported issue 9876543210 with service,2026-07-26 21:10+00:00
T-53,medium,outage,Customer reported issue 9876543210 with service,2026/04/29 01:56
T-54,high,billing,Customer reported issue 9876543210 with service,2026-09-14 02:14:00
T-55,low,outage,Customer reported issue 9876543210 with service,2026-01-04 01:36+00:00
T-56,low,performance,Customer reported issue 9876543210 with service,2026-08-02 09:08:00
T-57,low,performance,Customer reported issue 9876543210 with service,2026/03/17 19:02
T-58,medium,performance,Customer reported issue 9876543210 with service,2026/10/28 00:13
T-59,medium,outage,Customer reported issue 9876543210 with service,2026-07-21 21:12:00
T-60,high,outage,Customer reported issue 9876543210 with service,2026-10-23 14:32+00:00
T-61,low,performance,Customer reported issue 9876543210 with service,2026-02-25 22:03:00
T-62,medium,outage,Customer reported issue 9876543210 with service,2026/02/28 10:15
T-63,medium,performance,Customer reported issue 9876543210 with service,2026-08-25 20:12+00:00
T-64,high,outage,Customer reported issue 9876543210 with service,2026-02-12 03:14+00:00
T-65,low,performance,Customer reported issue 9876543210 with service,2026/08/14 10:06
T-66,high,outage,Customer reported issue 9876543210 with service,2026-05-09 19:51:00
T-67,high,outage,Customer reported issue 9876543210 with service,2026-06-04 23:02:00
T-68,high,billing,Customer reported issue 9876543210 with service,2026/10/23 21:22
T-69,high,performance,Customer reported issue 9876543210 with service,2026/07/26 22:56
T-70,high,outage,Customer reported issue 9876543210 with service,2026-06-21 14:37+00:00
T-71,high,performance,Customer reported issue 9876543210 with service,2026/06/08 00:13
T-72,medium,performance,Customer reported issue 9876543210 with service,2026-03-19 03:56+00:00
T-73,medium,outage,Customer reported issue 9876543210 with service,2026/03/07 03:09
T-74,medium,billing,Customer reported issue 9876543210 with service,2026/08/08 11:49
T-75,medium,performance,Customer reported issue 9876543210 with service,2026-04-09 13:21+00:00
T-76,medium,performance,Customer reported issue 9876543210 with service,2026-04-24 11:46+00:00
T-77,medium,billing,Customer reported issue 9876543210 with service,2026-04-21 08:14:00
T-78,medium,performance,Customer reported issue 9876543210 with service,2026-12-12 09:07+00:00
T-79,high,billing,Customer reported issue 9876543210 with service,2026/09/17 15:10
T-80,low,performance,Customer reported issue 9876543210 with service,2026-08-11 12:36:00
T-81,high,performance,Customer reported issue 9876543210 with service,2026-12-08 00:23+00:00
T-82,medium,billing,Customer reported issue 9876543210 with service,2026/08/30 07:28
T-83,medium,outage,Customer reported issue 9876543210 with service,2026-05-12 09:55+00:00
T-84,medium,performance,Customer reported issue 9876543210 with service,2026/06/14 02:06
T-85,low,outage,Customer reported issue 9876543210 with service,2026/06/05 16:11
T-86,low,performance,Customer reported issue 9876543210 with service,2026/10/23 13:08
T-87,low,billing,Customer reported issue 9876543210 with service,2026/03/01 14:10
T-88,medium,performance,Customer reported issue 9876543210 with service,2026-03-26 10:55+00:00
T-89,high,billing,Customer reported issue 9876543210 with service,2026-04-01 17:29+00:00
T-90,low,billing,Customer reported issue 9876543210 with service,2026-07-15 13:13+00:00
T-91,medium,outage,Customer reported issue 9876543210 with service,2026-06-03 09:07+00:00
T-92,low,outage,Customer reported issue 9876543210 with service,2026-01-30 11:46+00:00
T-93,medium,billing,Customer reported issue 9876543210 with service,2026-02-09 14:38+00:00
T-94,medium,billing,Customer reported issue 9876543210 with service,2026/09/14 05:22
T-95,medium,outage,Customer reported issue 9876543210 with service,2026/07/29 04:57
T-96,high,billing,Customer reported issue 9876543210 with service,2026/07/18 20:11
T-97,medium,performance,Customer reported issue 9876543210 with service,2026-02-23 12:30:00
T-98,low,performance,Customer reported issue 9876543210 with service,2026-01-03 04:35:00
T-99,medium,billing,Customer reported issue 9876543210 with service,2026-03-29 23:18+00:00
T-100,medium,billing,Customer reported issue 9876543210 with service,2026-12-05 08:06:00
T-101,high,billing,Customer reported issue 9876543210 with service,2026-11-20 13:29:00
T-102,low,outage,Customer reported issue 9876543210 with service,2026-08-29 00:28+00:00
T-103,low,billing,Customer reported issue 9876543210 with service,2026/02/15 14:27
T-104,medium,outage,Customer reported issue 9876543210 with service,2026-01-17 14:18:00
T-105,medium,performance,Customer reported issue 9876543210 with service,2026/10/14 08:54
T-106,high,outage,Customer reported issue 9876543210 with service,2026-11-28 19:23:00
T-107,medium,billing,Customer reported issue 9876543210 with service,2026-01-12 11:24:00
T-108,high,performance,Customer reported issue 9876543210 with service,2026-06-27 05:18+00:00
T-109,medium,outage,Customer reported issue 9876543210 with service,2026-11-14 01:58+00:00
T-110,medium,billing,Customer reported issue 9876543210 with service,2026-05-07 00:58:00
T-111,medium,performance,Customer reported issue 9876543210 with service,2026-08-27 10:15+00:00
T-112,medium,billing,Customer reported issue 9876543210 with service,2026/03/18 12:28
T-113,medium,performance,Customer reported issue 9876543210 with service,2026/02/15 07:31
T-114,medium,outage,Customer reported issue 9876543210 with service,2026-02-23 15:28+00:00
T-115,medium,performance,Customer reported issue 9876543210 with service,2026-12-01 04:20:00
T-116,medium,performance,Customer reported issue 9876543210 with service,2026-04-27 12:03+00:00
T-117,high,outage,Customer reported issue 9876543210 with service,2026/11/25 02:48
T-118,high,billing,Customer reported issue 9876543210 with service,2026-07-28 00:57+00:00
T-119,medium,performance,Customer reported issue 9876543210 with service,2026-08-05 06:29:00
T-120,high,performance,Customer reported issue 9876543210 with service,2026-04-02 12:58:00
T-121,medium,billing,Customer reported issue 9876543210 with service,2026-08-03 22:03:00
T-122,low,outage,Customer reported issue 9876543210 with service,2026-06-08 23:19:00
T-123,high,billing,Customer reported issue 9876543210 with service,2026-11-10 06:06:00
T-124,medium,billing,Customer reported issue 9876543210 with service,2026/06/29 17:04
T-125,medium,outage,Customer reported issue 9876543210 with service,2026/09/27 05:52
T-126,low,billing,Customer reported issue 9876543210 with service,2026-02-01 14:13+00:00
T-127,low,billing,Customer reported issue 9876543210 with service,2026-06-14 12:38:00
T-128,medium,outage,Customer reported issue 9876543210 with service,2026/10/25 14:27
T-129,medium,performance,Customer reported issue 9876543210 with service,2026-10-22 16:48:00
T-130,low,outage,Customer reported issue 9876543210 with service,2026-08-19 15:16+00:00
T-131,high,performance,Customer reported issue 9876543210 with service,2026/10/07 12:37
T-132,medium,billing,Customer reported issue 9876543210 with service,2026-07-26 20:46+00:00
T-133,low,billing,Customer reported issue 9876543210 with service,2026-04-27 18:14+00:00
T-134,low,performance,Customer reported issue 9876543210 with service,2026/05/10 00:49
T-135,high,outage,Customer reported issue 9876543210 with service,2026/07/09 14:35
T-136,low,outage,Customer reported issue 9876543210 with service,2026-10-08 02:01:00
T-137,medium,performance,Customer reported issue 9876543210 with service,2026-11-14 21:04+00:00
T-138,low,performance,Customer reported issue 9876543210 with service,2026/05/28 15:43
T-139,medium,performance,Customer reported issue 9876543210 with service,2026-03-19 22:58:00
T-140,low,performance,Customer reported issue 9876543210 with service,2026/08/15 20:37
T-141,high,billing,Customer reported issue 9876543210 with service,2026-06-23 20:58:00
T-142,low,billing,Customer reported issue 9876543210 with service,2026/02/17 17:15
T-143,high,billing,Customer reported issue 9876543210 with service,2026-07-20 16:17+00:00
T-144,medium,outage,Customer reported issue 9876543210 with service,2026/01/08 04:16
T-145,high,billing,Customer reported issue 9876543210 with service,2026-06-13 00:25+00:00
T-146,high,billing,Customer reported issue 9876543210 with service,2026-04-26 06:38:00
T-147,low,billing,Customer reported issue 9876543210 with service,2026/07/27 14:17
T-148,low,performance,Customer reported issue 9876543210 with service,2026-03-11 20:34+00:00
T-149,high,performance,Customer reported issue 9876543210 with service,2026-10-24 12:31:00
